Project,StudyArea,Transect,Point,Protocol,Visit,Date,StartTime,EndTime,ObservTime,TimeBinID,TimeBin,Count,Spp,CommonName,ScientificName,DetectionCue,DistanceBinID,DistanceBin,PointNote,ObservationNote,Researcher,DataStatus,DuplicateIndividualInd,NoiseLevelCd,BreedingStatusKBOCd,DetectionLocationNm,KBO_History
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,CAVI,Cassin's Vireo,Vireo cassinii,S,45,45,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,WREN,Wrentit,Chamaea fasciata,S,160,160,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,O,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,AMRO,American Robin,Turdus migratorius,C,35,35,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,STJA,Steller's Jay,Cyanocitta stelleri,S,90,90,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,RBNU,Red-breasted Nuthatch,Sitta canadensis,S,70,70,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,80,80,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:07:00,1,1,1,DEJU,Dark-eyed Junco,Junco hyemalis,S,85,85,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,SPTO,Spotted Towhee,Pipilo maculatus,C,70,70,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,CBCH,Chestnut-backed Chickadee,Poecile rufescens,C,40,40,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,HUVI,Hutton's Vireo,Vireo huttoni,S,85,85,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,CAVI,Cassin's Vireo,Vireo cassinii,S,70,70,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,S,85,85,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,GCKI,Golden-crowned Kinglet,Regulus satrapa,C,55,55,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,1,6/22/18,7:07:00,7:17:00,7:08:00,2,2,1,CASJ,California Scrub-Jay,Aphelocoma californica,C,90,90,Merrill LS,,"Adlam, Christopher",CLEAN,,0,,O,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:44:00,1,1,1,CAVI,Cassin's Vireo,Vireo cassinii,S,55,55,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:44:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,70,70,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:44:00,1,1,1,AMRO,American Robin,Turdus migratorius,V,40,40,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:44:00,1,1,2,HEWA,Hermit Warbler,Setophaga occidentalis,S,65,65,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:45:00,2,2,1,BRCR,Brown Creeper,Certhia americana,S,85,85,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:45:00,2,2,1,STJA,Steller's Jay,Cyanocitta stelleri,C,75,75,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:45:00,2,2,1,SPTO,Spotted Towhee,Pipilo maculatus,S,80,80,Merrill LS,,"Adlam, Christopher",CLEAN,,,,O,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:45:00,2,2,1,RBNU,Red-breasted Nuthatch,Sitta canadensis,S,100,100,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:46:00,3,3,1,AMRO,American Robin,Turdus migratorius,S,75,75,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:46:00,3,3,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,120,120,Merrill LS,,"Adlam, Christopher",CLEAN,,,,O,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:46:00,3,3,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,S,90,90,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:49:00,6,6,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,70,70,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:52:00,9,9,1,CBCH,Chestnut-backed Chickadee,Poecile rufescens,C,85,85,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:53:00,10,10,1,WREN,Wrentit,Chamaea fasciata,S,120,120,Merrill LS,,"Adlam, Christopher",CLEAN,,,,O,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:53:00,10,10,1,HUVI,Hutton's Vireo,Vireo huttoni,S,95,95,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P1,1,KBO_VRPC_4,2,6/24/18,7:44:00,7:54:00,7:53:00,10,10,1,NOFL,Northern Flicker,Colaptes auratus,C,80,80,Merrill LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,AMRO,American Robin,Turdus migratorius,S,70,70,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,35,35,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,65,65,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,AMRO,American Robin,Turdus migratorius,V,39,39,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,70,70,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,BRCR,Brown Creeper,Certhia americana,S,20,20,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,S,45,45,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:57:00,1,1,1,AMRO,American Robin,Turdus migratorius,S,60,60,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,5:58:00,2,2,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,80,80,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:00:00,4,4,1,CAVI,Cassin's Vireo,Vireo cassinii,S,30,30,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:02:00,6,6,1,SPTO,Spotted Towhee,Pipilo maculatus,S,80,80,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:02:00,6,6,1,CAVI,Cassin's Vireo,Vireo cassinii,S,60,60,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:03:00,7,7,1,HUVI,Hutton's Vireo,Vireo huttoni,S,45,45,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:03:00,7,7,1,DEJU,Dark-eyed Junco,Junco hyemalis,V,20,20,Somes LS,VC,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:04:00,8,8,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,60,60,Somes LS,,"Adlam, Christopher",CLEAN,,,,,
CHRISADLAM,LS,P3,3,KBO_VRPC_4,1,6/21/18,5:57:00,6:07:00,6:04:00,8,8,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,75,75,Somes LS,,"Adlam, Christopher",CLEAN,,0,,,
