Project,Study Area,Transect,Point,Protocol,Visit,Date,Start Time,End Time,Observ Time,Time Bin ID,Time Bin,Count,Spp,Common Name,Scientific Name,Detection Cue,DistanceBin,DetectionLocationNm
,,,,,,,,,,,,,,,,,,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,250,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,300,O
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,70,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,90,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,90,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:08:00,1,1,1,TRES,Tree Swallow,Tachycineta bicolor,C,110,O
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:09:00,2,2,1,WREN,Wrentit,Chamaea fasciata,S,120,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:12:00,5,5,1,PUFI,Purple Finch,Haemorhous purpureus,S,170,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,1,6/10/19,6:08:00,6:18:00,6:16:00,9,9,1,SPTO,Spotted Towhee,Pipilo maculatus,S,150,O
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:00:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,V,30,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:00:00,1,1,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,70,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:00:00,1,1,1,MOUQ,Mountain Quail,Oreortyx pictus,V,35,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:00:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,80,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:01:00,2,2,1,WREN,Wrentit,Chamaea fasciata,S,60,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:01:00,2,2,1,SPTO,Spotted Towhee,Pipilo maculatus,S,70,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:02:00,3,3,1,STJA,Steller's Jay,Cyanocitta stelleri,C,110,O
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:02:00,3,3,1,CAVI,Cassin's Vireo,Vireo cassinii,C,120,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:03:00,4,4,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,C,40,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:07:00,8,8,1,CASJ,California Scrub-Jay,Aphelocoma californica,C,55,
CHRISADLAM,MULT,P201,201,KBO_VRPC_4,2,6/12/19,10:00:00,10:10:00,10:08:00,9,9,1,HUVI,Hutton's Vireo,Vireo huttoni,S,60,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,WREN,Wrentit,Chamaea fasciata,S,45,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,LAZB,Lazuli Bunting,Passerina amoena,S,35,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,C,60,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,45,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,120,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:00:00,1,1,1,YBCH,Yellow-breasted Chat,Icteria virens,C,35,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:01:00,2,2,2,HAWO,Hairy Woodpecker,Picoides villosus,V,15,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:01:00,2,2,1,WETA,Western Tanager,Piranga ludoviciana,S,180,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:03:00,4,4,1,WETA,Western Tanager,Piranga ludoviciana,S,60,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:03:00,4,4,1,CAVI,Cassin's Vireo,Vireo cassinii,S,85,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:04:00,5,5,1,STJA,Steller's Jay,Cyanocitta stelleri,C,90,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:04:00,5,5,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,55,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:05:00,6,6,1,LAZB,Lazuli Bunting,Passerina amoena,S,55,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:07:00,8,8,1,WREN,Wrentit,Chamaea fasciata,S,60,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:07:00,8,8,1,MOUQ,Mountain Quail,Oreortyx pictus,S,180,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,1,6/10/19,7:00:00,7:10:00,7:09:00,10,10,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,V,10,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:11:00,1,1,1,WREN,Wrentit,Chamaea fasciata,S,65,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:11:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,25,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:11:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,C,35,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:11:00,1,1,1,DEJU,Dark-eyed Junco,Junco hyemalis,S,80,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:11:00,1,1,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,110,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:12:00,2,2,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,S,200,O
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:12:00,2,2,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,V,70,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:14:00,4,4,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,90,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:14:00,4,4,1,WETA,Western Tanager,Piranga ludoviciana,S,90,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:15:00,5,5,1,MGWA,MacGillivray's Warbler,Geothlypis tolmiei,S,65,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:16:00,6,6,2,HUVI,Hutton's Vireo,Vireo huttoni,V,10,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:16:00,6,6,1,WETA,Western Tanager,Piranga ludoviciana,C,110,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:17:00,7,7,1,YBCH,Yellow-breasted Chat,Icteria virens,S,160,O
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:18:00,8,8,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,45,
CHRISADLAM,MULT,P202,202,KBO_VRPC_4,2,6/12/19,8:11:00,8:21:00,8:18:00,8,8,2,LEGO,Lesser Goldfinch,Spinus psaltria,C,60,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,3,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,V,20,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,1,CAVI,Cassin's Vireo,Vireo cassinii,S,65,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,2,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,45,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,35,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,1,WAVI,Warbling Vireo,Vireo gilvus,S,75,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:30:00,1,1,1,STJA,Steller's Jay,Cyanocitta stelleri,C,65,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:32:00,3,3,1,WETA,Western Tanager,Piranga ludoviciana,C,25,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:32:00,3,3,1,WETA,Western Tanager,Piranga ludoviciana,S,75,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:34:00,5,5,1,CAVI,Cassin's Vireo,Vireo cassinii,S,45,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:34:00,5,5,1,STJA,Steller's Jay,Cyanocitta stelleri,C,40,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:36:00,7,7,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,C,35,
