site_id,trap
1,p
1,c
2,p
2,c
3,p
3,c
4,p
4,c
5,p
5,c
6,p
6,c
7,p
7,c
8,p
8,c
9,p
9,c
10,p
10,c
12,p
12,c
13,p
13,c
14,p
14,c
15,p
15,c
16,p
16,c
17,p
17,c
18,p
18,c
19,p
19,c
20,p
20,c
21,p
21,c
25,p
25,c
27,p
27,c
28,p
28,c
30,p
30,c
32,p
32,c
33,p
33,c
34,p
34,c
36,p
36,c
37,p
37,c
38,p
38,c
40,p
40,c
41,p
41,c
42,p
42,c
43,p
43,c
44,p
44,c
46,p
46,c
47,p
47,c
49,p
49,c
51,p
51,c
52,p
52,c
53,p
53,c
54,p
54,c
55,p
55,c
56,p
56,c
57,p
57,c
58,p
58,c
59,p
59,c
60,p
60,c
