site_id,species,abund,substrate,notes,OBS_NUM,in_50_orblwnin
3,LEVU,2,PSME,,2,
4,0,,,,13,
5,HYEN,2,,,14,
5,HYIN,3,,,15,
5,PHXX,1,QUKE,,16,
6,AHPA,3,,,17,
6,HYIM,3,,,18,
6,HYME,3,,,19,
6,TUOR,3,,,20,
6,ESID,3,,,21,
6,PLST,1,,,22,
6,USXX,2,,,23,
6,PLGL,1,,,24,
7,0,,,,3,
7,HYIN,1,PSME,ABUND NOT RECORDED. ON SURVIVING TREE,66,
7,ESID,1,PSME,ABUND NOT RECORDED. ON SURVIVING TREE,67,
7,KAME,1,PSME,ABUND NOT RECORDED. ON SURVIVING TREE,68,
7,HYEN,1,PSME,ABUND NOT RECORDED. ON SURVIVING TREE,69,
7,NEHE,1,QUKE,ON SURVIVING TREE,70,
7,PECO,1,QUKE,ON SURVIVING TREE,71,
7,LOAN,1,QUKE,ON SURVIVING TREE,72,
7,PHYSCONIA,2,QUKE,ON SURVIVING TREE,73,
7,USXX,1,QUKE,ON SURVIVING TREE,74,
8,USXX,4,,CHECK ALL USXX,4,
8,HYIN,4,,CHECK ALL HYPOGYMNIA,5,
8,AHPA,4,,,6,
8,TUOR,4,,,7,
8,KAME,2,,,8,
8,ESID,4,,,9,
8,EVPR,1,,,10,
8,LEVU,1,,,11,
8,HYEN,2,,,12,
10,ESID,3,PSME,,106,
10,HYEN,3,PSME,,107,
10,USXX,3,PSME,,108,
10,HYIN,3,PSME,,109,
10,LOANO,2,PSME,,110,
10,PASU,2,PSME,,111,
10,NOPU,2,PSME,,112,
10,NEHE,1,PSME,,113,
10,EVPR,1,PSME,,114,
10,TUOR,2,PSME,,115,
10,PECO,1,,,116,
10,PHYSCONIA,1,PSME,,117,
10,AHPA,1,PSME,,118,
10,LOPU,3,PSME,,119,
10,LOANT,2,PSME,,120,
10,HYPH,1,PSME,,121,
15,USXX,,,just a small USPE or an USTU?,183,
15,VUCA,,,,,
15,TUOR,,,,,
15,KAME,,,,,
15,ESID,,,,,
15,HYIM,,,,,
15,USPE,,,,,
27,PLGL,4,,,143,
27,USPE,4,,,144,
27,HYIN,4,,,145,
27,AHPA,3,,,146,
27,PLST,4,,,147,
27,LEVU,1,,,148,
27,TUOR,4,,,149,
27,ESID,4,,,150,
27,EVPR,1,,,151,
27,BRXX,1,,ABUND NOT RECORDED,152,
27,USTU,3,,,153,
27,LOPU,1,,,154,1
27,LOANT,1,,,155,1
28,HYIN,3,,,172,
30,USTU,2,,,173,
30,ESID,4,,,174,
30,HYIN,4,,,175,
30,PLGL,3,,,176,
30,TUOR,4,,,177,
30,AHPA,3,,,178,
30,HYEN,3,,,179,
30,PLST,3,,,180,
30,LOPU,2,,,181,
30,USPE,1,,,182,
32,ESID,3,,,34,
32,TUOR,3,,,35,
32,HYIM,3,,,36,
32,VUCA,1,,,37,
32,AHPA,3,,,38,
32,LEVU,2,,,39,
32,USXX,1,,ABUND NOT RECORDED,40,
32,PASU,1,,ABUND NOT RECORDED,41,REALLY? AS WELL AS PAHY?
32,KAME,1,,,42,
32,PLGL,1,,,43,
32,HYME,1,,ABUND NOT RECORDED,,
32,PAHY,1,,ABUND NOT RECORDED,,
33,LEVU,4,,,48,
33,HYIN,4,,,49,
33,PLGL,4,,,50,
33,PLST,3,,,51,
33,KAME,1,,,52,
33,AHPA,3,,,53,
33,TUOR,4,,,54,
33,PASU,3,,,55,
33,USXX,4,,,56,
33,EVPR,2,,,57,
33,PHYS,2,,CHECK ALL PHYSCIOIDS,58,
33,NEHE,1,,,59,
33,LOAN,2,,,60,
33,MEGL,1,,CHECK MELANELIXIA,61,
33,LOPU,2,,,62,
33,PH,1,,CHECK,63,
33,PHAL,1,,,64,
33,PLHE,3,,,65,
34,HYIN,3,PSME,ON SURVIVING TREE,44,
34,TUOR,3,PSME,,45,
34,ESID,1,PSME,,46,
34,HYEN,1,PSME,,47,
36,TUOR,2,,LITTERFALL FROM OUSIDE PLOT,29,
36,KAME,2,,,30,
36,AHPA,2,,,31,
36,HYIM,2,,,32,
36,ESID,2,,,33,
51,0,,,,1,
54,AHPA,2,,,25,
54,HYEN,3,,,26,
54,HYIN,3,,,27,
54,TUOR,1,,,28,
55,ESID,3,,,134,
55,HYIN,4,,,135,
55,TUOR,4,,,136,
55,HYEN,2,,,137,
55,PASU,2,,,138,
55,KAME,1,,,139,
55,USXX,1,,,140,
55,AHPA,2,,,141,
55,LOPU,2,,,142,
56,LEVU,1,,,122,
56,USXX,3,,,123,
56,EVPR,3,CEIN,,124,
56,MEGL,3,CEIN,,125,
56,HYIN,4,CEIN,,126,
56,TUOR,2,CEIN,,127,
56,PASU,3,,,128,
56,POXX,2,CEIN,,129,
56,PHYSCIA,3,,,130,
56,ESID,1,PIPO,,131,
56,KAME,1,PIPO,,132,
56,VUCA,2,PIPO,,133,
57,ALLA,2,,,83,
57,PLGL,4,,,84,
57,ESID,4,,,85,
57,PLST,4,,,86,
57,EVPR,1,,,87,
57,AHPA,4,,,88,
57,TUOR,4,,,89,
57,USXX,4,,,90,
57,HYIN,4,,,91,
57,HYEN,4,,,92,
57,HYXX,3,,MAYBE HYPH?,93,
57,PASU,2,,,94,
57,LOANT,2,,,95,
57,PECO,1,,,96,
57,PHYSCONIA,2,,,97,
57,MECA,1,,,98,
57,PHYSCONIA2,1,,,99,
57,PHYSCIA,2,,,100,
57,NOPU,2,,,101,
57,LOPU,1,,,102,
57,LESA,1,,,103,
57,LEVU,5,,,104,
57,TUPL,3,,,105,
58,HYIN,4,,,75,
58,POXX,1,,,76,
58,PASU,2,ACMA,,77,
58,PHYSCIA,4,ACMA,,78,
58,NERE,1,ACMA,,79,
58,LOAN,1,ACMA,,80,
58,EVPR,1,ACMA,,81,
58,VUCA,1,PIPO,,82,
59,USXX,4,,,156,
59,BRXX,2,,,157,
59,LOPU,2,,,158,
59,HYIN,4,,,159,
59,TUOR,4,,,160,
59,PLGL,2,,,161,
59,ESID,2,,,162,
59,HYEN,2,,,163,
59,PASU,1,,,164,
59,AHPA,2,,,165,
60,USXX,3,,ON SURVIVING PSME,166,
60,LEVU,2,,ON SURVIVING PSME,167,
60,HYEN,1,,ON SURVIVING PSME,168,
60,ESID,3,,ON SURVIVING PSME,169,
60,TUOR,3,,ON SURVIVING PSME,170,
60,VUCA,1,,ON SURVIVING PSME,171,
38,HYIM,,,,184,
38,USPE,,,,185,
1,PAQU,1,QUKE,,186,
1,LOPU,2,QUKE,,187,
1,PASU,3,QUKE,,188,
1,PECO,2,QUKE,,189,
1,LOANT,3,QUKE,,190,
1,MECA,1,QUKE,,191,
1,PHPE,2,QUKE,,192,
1,ESID,2,,,193,
1,USTU,2,,,194,
1,HYIN,2,,,195,
1,AHPA,2,,,196,
1,TUOR,2,,,197,
1,NOPU,2,QUKE,,198,
1,FUME,2,QUKE,ABUND NOT RECORDED,,
1,LEPS,2,QUKE,ABUND NOT RECORDED,,
1,CONI,1,QUKE,ABUND NOT RECORDED_COULD BE COCU,,
1,PHCA,3,QUKE,CHECK VS PHAM,,
1,HYME,,,ABUND NOT RECORDED,,
25,HYIN,4,,,199,
25,BRXX,3,,,200,
25,TUOR,4,,,201,
25,AHPA,3,,,202,
25,KAME,1,,,203,
25,ESID,3,,,204,
25,HYEN,2,,,205,
25,USPE,4,,,206,
25,LEVU,1,,,207,
25,PLGL,1,,,208,
40,USPE,,,BLOWN IN?,209,
40,PECO,,SURVIVING QUKE,,210,
40,HYIN,,LITTERFALL FROM SURV PSME,,211,
40,PHYSCONIA,,SURVIVING QUKE,,212,
40,CONI,,SURVIVING QUKE,,213,
40,PHYSCIA,,RECENT GROWTH ON SURV QUKE,,214,
53,ALLA,1,,ABUND NOT RECORDED,,
53,HYIM,4,,,215,
53,TUOR,4,,,216,
53,HYME,3,,,217,
53,AHPA,4,,,218,
53,PLGL,2,,,219,
53,USXX,3,,ACTUALLY ALLA? NO SPECIMEN,220,
53,KAME,1,,,221,
53,ESID,3,,,222,
53,BRXX,3,,,223,
49,HYIN,4,,,224,
49,AHPA,3,,,225,
49,TUOR,4,,,226,
49,USXX,3,,,227,
49,HYEN,3,,,228,
49,KAME,1,,,229,
49,ESID,3,,,230,
49,BRXX,1,,,231,
49,LEVU,1,,,232,
41,AHPA,4,,,233,
41,BRXX,3,,,234,
41,TUOR,4,,,235,
41,HYIM,4,,,236,
41,PLGL,3,,,237,
41,USXX,4,,USTU? SOME ACTUALLY ALLA? SPECIMEN COLLECT,238,
41,ALLA,3,,ABUND NOT RECORDED,,
41,ESID,3,,,239,
41,HYME,3,,,240,
41,KAME,2,,ABUND NOT RECORDED,,
41,VUCA,1,,ABUND NOT RECORDED,,
41,LEVU,1,,ABUND NOT RECORDED,,
41,TUPL,1,,ABUND NOT RECORDED,,
20,HYIN,4,,,241,
20,LEVU,1,,,242,
20,USXX,1,,,243,
20,PLGL,1,,,244,
20,HYEN,2,QUCH,,245,
20,PASU,2,QUCH,RECORDED AS PLSU,246,
