site_id,code,cover,obs_id
2,FECA,5,297
2,HYPE,1,298
2,HIAL,0.5,299
2,AGGR,0.5,300
2,PHXX,0.5,301
2,MECA,1,302
2,MAGR,1,303
2,APAN,0.5,304
2,LOHI,1,305
2,TRLA,10,306
2,POIM,0.5,307
2,AICA,0.5,308
2,TOAR,0.5,309
2,CAOC,1,310
2,LICA,0.5,311
2,FEOC,2,312
2,RULE,1,313
2,GABO,0.5,314
2,IRTE,0.5,315
2,LOTR,0.5,316
2,CASC,4,317
2,BRTE,1,318
2,ACMI,0.5,319
2,SOPA,0.5,320
2,OSBE,0.5,321
3,PYPI,0.5,322
3,VAHE,0.5,323
3,LOHI,4,324
3,ANMAD,0.5,325
3,CAMU,0.5,326
3,TRLA,1,327
3,IRTE,0.5,328
3,RULE,0.5,329
3,WHMO,0.5,330
3,RUBI,1,331
3,RUPA,0.5,332
3,CHUM,0.5,333
4,TOAR,1,653
4,RUBI,2,654
4,RULE,5,655
4,CYEC,1,656
4,MAGR,4,657
4,CLVI,3,658
4,CAOC,1,659
4,SOPA,1,660
4,BRTE,4,661
4,RIRO,1,662
4,BRVU,10,663
4,AICA,1,664
4,FEMI,2,665
4,TRPO,0.5,666
4,SASC,0.5,667
4,CAPY,0.5,668
4,ERCA,0.5,669
4,DAPU,1,670
4,ANMAD,0.5,671
4,GATR,0.5,672
4,MECA,1,673
4,BRSE,0.5,674
4,ELGL,1,675
4,CLAM,0.5,676
5,FECA,15,630
5,BRSE,5,631
5,RULE,3,632
5,MECA,2,633
5,ACMI,1,634
5,CYEC,2,635
5,TOAR,2,636
5,SACR,1,637
5,BRTE,15,638
5,RUBI,1,639
5,SOPA,2,640
5,GABO,1,641
5,RIRO,2,642
5,BRVU,5,643
5,MAGR,1,644
5,LOHI,2,645
5,POIM,0.5,646
5,FEOC,1,647
5,MAOR,1,648
5,DAPU,1,649
5,BREL,0.5,650
5,ELGL,1,651
5,MOOD,1,652
5,,,735
6,RUBI,20,593
6,RULE,5,594
6,LOHI,5,595
6,ANMAD,2,596
6,TOAR,2,597
6,OSBE,3,598
6,HIAL,2,599
6,ELGL,1,600
6,TRLA,5,601
6,FEOC,5,602
6,MECA,10,603
6,POCO,1,604
6,SACR,1,605
6,RIRO,5,606
6,VIAM,1,607
6,APAN,1,608
6,VILO,1,609
6,PLEL,0.5,610
6,PTAQ,3,611
6,GATR,0.5,612
6,VAHE,1,613
6,SOPA,1,614
6,PYAP,0.5,615
6,RUPA,2,616
6,GABO,1,617
6,VICA,1,618
6,PSME,60,693
6,TODI,15,694
6,ARME,1,695
6,QUCH,1,696
6,QUKE,0,697
6,NODE,2,698
6,CEIN,1,699
6,PIAT,0.5,700
6,PHLE,0.5,701
6,COCO,1,702
6,CEOC,1,703
6,GAFR,1,704
7,LOHI,3,520
7,FECA,30,521
7,SABI,0.5,522
7,GABO,2,523
7,CYEC,1,524
7,MAGR,0.5,525
7,AICA,2,526
7,CAXX,0.5,527
7,TOAR,1,528
7,FEMI,1,529
7,POCO,1,530
7,DAPU,1,531
7,IRTE,1,532
7,APAN,1,533
7,HIAL,1,534
7,BREL,0.5,535
7,GAPA,0.5,536
7,SICA,1,537
7,CASC,0.5,538
7,ANMAD,1,539
7,TRLA,1,540
7,HYPE,1,541
7,ROGY,1,542
7,MECA,1,543
7,POIM,1,544
7,VAHE,2,545
7,OSBE,0.5,546
7,CYGR,0.5,547
7,RULE,1,548
7,RUBI,1,549
7,SACR,1,550
7,RIRO,1,551
7,SOPA,0.5,552
7,HOXX,0.5,553
7,ELGL,0.5,554
7,CIOC,0.5,555
7,ACMO,0.5,556
7,CHPO,0.5,557
8,CAMU,0.5,503
8,TOAR,2,504
8,CYEC,10,505
8,LOHI,1,506
8,MECA,1,507
8,OSBE,1,508
8,FECA,1,509
8,ANMAD,1,510
8,ELGL,1,511
8,PYAP,0.5,512
8,RULE,1,513
8,GABO,1,514
8,HIAL,1,515
8,SACR,1,516
8,RIRO,0.5,517
8,RUBI,1,518
8,CHPO,0.5,519
9,TOAR,3,444
9,CHPO,1,445
9,MAGR,5,446
9,MECA,70,447
9,FECA,1,448
9,SIXX,0.5,449
9,APAN,1,450
9,SICA,0.5,451
9,RUBI,1,452
9,BRTE,2,453
9,ELGL,2,454
9,CYEC,1,455
9,FEMI,0.5,456
9,RULE,1,457
9,LOHI,1,458
9,MAOR,0.5,459
9,HIAL,1,460
9,SOPA,0.5,461
10,HIAL,0.5,462
10,ACMI,0.5,463
10,LOHI,0.5,464
10,ANMAD,0.5,465
10,GABO,0.5,466
10,FEOC,0.5,467
10,MECA,0.5,468
10,POIM,0.5,469
10,ELGL,0.5,470
10,SICA,0.5,471
10,POCO,0.5,472
1,CYGR,0.5,289
1,VILO,0.5,290
1,PYAP,0.5,291
1,LOHI,0.5,292
1,APAN,0.5,293
1,GATR,0.5,294
1,TRLA,0.5,295
1,ANMAD,0.5,296
12,AICA,2,8
12,FEMI,1,9
12,LOHI,1,10
12,BRTE,1,11
12,POCO,0.5,12
12,POIM,0.5,13
12,TOAR,0.5,14
12,PETR,0.5,15
12,GABO,0.5,16
12,ARDI,0.5,17
12,FEOC,0.5,18
12,MECA,0.5,19
13,PTAQ,1,38
13,LOHI,0.5,39
13,PYPI,1,40
13,PYAP,0.5,41
13,IRTE,0.5,42
13,MECA,0.5,43
13,HYPE,0.5,44
13,ELGL,0.5,45
14,AICA,0.5,46
14,COHE,0.5,47
14,HYPE,0.5,48
14,HOCR,2,49
14,RULE,0.5,50
14,FECA,0.5,51
14,CAMU,0.5,52
14,CYEC,0.5,53
14,FEMI,0.5,54
14,ELGL,0.5,55
14,ANMAD,0.5,56
14,TOAR,0.5,57
14,PTAQ,0.5,58
14,SI,0.5,59
14,TRLA,0.5,60
15,KOST,0.5,1
15,LOHI,1,2
15,FECA,0.5,3
15,POIM,0.5,4
15,PTAQ,0.5,5
15,IRTE,0.5,6
15,PYPI,0.5,7
16,TRLA,0.5,29
16,LOHI,0.5,30
16,RUBI,0.5,31
17,PYPI,0.5,32
17,IRTE,0.5,33
17,LOHI,0.5,34
17,GABO,0.5,35
17,POIM,0.5,36
17,WHMO,0.5,37
18,ACMI,0.5,61
18,LUTR,0.5,62
18,RUPA,0.5,63
18,LOHI,0.5,64
18,APAN,0.5,65
18,ERLA,0.5,66
18,DIMU,0.5,67
18,CHAN,0.5,68
18,DAGL,0.5,69
18,AICA,0.5,70
18,PTAQ,0.5,71
18,BRSE,0.5,72
18,FRVE,0.5,73
18,CASC,0.5,74
