,site_id,species,cover,fire,sev,fire_yr,tsf,tsf_cat,tree_cov,shrub_cov,herb_cov,bare_cov,slope,aspect,mo,day,yr,dist_to_edge,notes,lat,lon,elev
192,51,RULE,20,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
193,51,MECA,25,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
194,51,CASC,0.5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
195,51,MAGR,3,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
196,51,CAOC,5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
197,51,VIAM,5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
198,51,TRLA,4,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
199,51,SOPA,1,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
200,51,CHAN,0.5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
201,51,COHE,0.5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
202,51,HOCR,1,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
203,51,GICA,0.5,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
216,52,ARDI,1,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
217,52,MECA,0.5,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
218,52,FEOC,20,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
219,52,COHE,0.5,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
220,52,CLPU,0.5,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
