species,genus,species,full_name,native_status,comments,form,
ABCO,Abies,concolor,Abies concolor,native,,tree,
ABPR,Abies,procera,Abies procera,native,,tree,
ACAM,Acmispon,americanus,Acmispon americanus,native,,herb,
ACBR,Acmispon,brachycarpus,Acmispon brachycarpus,native,see specimen,herb,
ACCI,Acer,circinatum,Acer circinatum,native,,shrub,
ACGL,Acer,glabrata,Acer glabrata,native,,shrub,
ACMA,Acer,macrophyllum,Acer macrophyllum,native,,tree,
ACMI,Achillea,millefollium,Achillea millefollium,native,,herb,
ACMO,Achyrrhachaena,mollis,Achyrrhachaena mollis,native,bit out of range?,herb,
ACNE,Acmispon,nevadensis,Acmispon nevadensis,native,,herb,
ACTR,Achlys,triphylla,Achlys triphylla,native,,herb,
ACXX,Acmispon,sp,Acmispon sp,native,,herb,
ADBI,Adenocaulon,bicolor,Adenocaulon bicolor,native,,herb,
AGST,Agrostis,stolonifera,Agrostis stolonifera,non_native,,grass,
AGGR,Agoseris,grandiflora,Agoseris grandiflora,native,,herb,
AGHE,Agoseris,heterophylla,Agoseris heterophylla,native,,herb,actually A. retrorsa
AGRE,Agoseris,retrorsa,Agoseris retrorsa,native,,herb,
AIAL,Ailanthus,altissima,Ailanthus altissima,non_native,,tree,
AICA,Aira,caryophyllea,Aira caryophyllea,non_native,,grass,
ALAC,Allium,acuminatum,Allium acuminatum,native,,herb,
ALRH,Alnus,rhombifolia,Alnus rhombifolia,native,,tree,
ALXX,Allium,sp,Allium sp,native,,herb,
AMAL,Amelanchier,alnifolia,Amelanchier alnifolia,native,,shrub,
ANMAD,Anisocarpus,madioides,Anisocarpus madioides,native,recorded as Madia elegans check,herb,
ANMAR,Anagallis,margaritacea,Anagallis margaritacea,native,,herb,
ANRA,Antennaria,racemosa,Antennaria racemosa,native,,herb,
APAN,Apocynum,androsaemifolium,Apocynum androsaemifolium,native,,herb,
ARCA,Arctostaphylos,canescens,Arctostaphylos canescens,native,,shrub,
ARCAL,Aralia,californica,Aralia californica,native,,herb,
ARDI,Arnica,discoidea,Arnica discoidea,native,,herb,
ARGL,Arctostaphylos,glandulosa,Arctostaphylos glandulosa,native,,shrub,
ARME,Arbutus,menziesii,Arbutus menziesii,native,,tree,
ARPA,Arctostaphylos,patula,Arctostaphylos patula,native,,shrub,
ARVI,Arctostaphylos,viscida,Arctostaphylos viscida,native,,shrub,
ARXX,Arnica,sp.,Arnica sp.,native,,herb,
ASHA,Asarum,hartweggii,Asarum hartweggii,native,,herb,
ASPR,Asyneuma,prenanthoides,Asyneuma prenanthoides,native,Previously ID as Campanula scouleri,herb,
