"","site_id","full_name","species","cover"
"1",1,"Anisocarpus madioides","ANMAD",0.5
"2",1,"Apocynum angustifolium","APAN",0.5
"3",1,"Arbutus menziesii","ARME",15
"4",1,"Corylus cornuta","COCO",0
"5",1,"Cynoglossum grande","CYGR",0.5
"6",1,"Gallium triflorum","GATR",0.5
"7",1,"Lonicera hispidula","LOHI",0.5
"8",1,"Notholithocarpus densifolius","NODE",5
"9",1,"Pseudotsuga menziesii","PSME",75
"10",1,"Pyrolla aphylla","PYAP",0.5
"11",1,"Quercus chrysolepis","QUCH",1
"12",1,"Quercus kelloggii","QUKE",15
"13",1,"Toxicodendron diversilobum","TODI",3
"14",1,"Trientalis latiolia","TRLA",0.5
"15",1,"Umbellularia californica","UMCA",30
"16",1,"Viola lobata","VILO",0.5
"17",6,"Anisocarpus madioides","ANMAD",2
"18",6,"Apocynum angustifolium","APAN",1
"19",6,"Arbutus menziesii","ARME",1
"20",6,"Ceanothus integerrimus","CEIN",1
"21",6,"Cercis occidentalis","CEOC",1
"22",6,"Corylus cornuta","COCO",1
"23",6,"Elymus glaucus","ELGL",1
"24",6,"Festuca occidentalis","FEOC",5
"25",6,"Gallium bolanderi","GABO",1
"26",6,"Garrya fremontii","GAFR",1
"27",6,"Gallium triflorum","GATR",0.5
"28",6,"Hieracium albiflorum","HIAL",2
"29",6,"Lonicera hispidula","LOHI",5
"30",6,"Melica californica","MECA",10
"31",6,"Notholithocarpus densifolius","NODE",2
"32",6,"Osmorrhiza berteroi","OSBE",3
"33",6,"Philadelphus lewisii","PHLE",0.5
"34",6,"Pinus attenuata","PIAT",0.5
"35",6,"Platanthera elegans","PLEL",0.5
"36",6,"Polygala cornuta","POCO",1
"37",6,"Pseudotsuga menziesii","PSME",60
"38",6,"Pteridium aquilinum","PTAQ",3
"39",6,"Pyrolla aphylla","PYAP",0.5
"40",6,"Quercus chrysolepis","QUCH",1
"41",6,"Quercus kelloggii","QUKE",0
"42",6,"Ribes roezlii","RIRO",5
"43",6,"Rubus leucodermis","RULE",5
"44",6,"Rubus parviflorus","RUPA",2
"45",6,"Sanicula crassicaulis","SACR",1
"46",6,"Solanum parishii","SOPA",1
"47",6,"Toxicodendron diversilobum","TODI",15
"48",6,"Trientalis latiolia","TRLA",5
"49",6,"Vancouveria hexandra","VAHE",1
"50",6,"Vicia americana","VIAM",1
"51",6,"Vitis californica","VICA",1
"52",6,"Viola lobata","VILO",1
"53",25,"Acer macrophyllum","ACMA",15
"54",25,"Achlys triphylla","ACTR",1
"55",25,"Anisocarpus madioides","ANMAD",0.5
"56",25,"Aralia californica","ARCAL",1
"57",25,"Arbutus menziesii","ARME",2
"58",25,"Calocedrus decurrens","CADE",5
"59",25,"Carex multicaulis","CAMU",0.5
"60",25,"Ceanothus integerrimus","CEIN",0.5
"61",25,"Corylus cornuta","COCO",5
"62",25,"Collomia heterophylla","COHE",0.5
"63",25,"Cornus nuttallii","CONU",3
"64",25,"Festuca occidentalis","FEOC",0.5
"65",25,"Gallium triflorum","GATR",0.5
"66",25,"Hieracium albiflorum","HIAL",0.5
"67",25,"Iris tenuissima","IRTE",0.5
"68",25,"Linnaea borealis","LIBO",1
"69",25,"Mahonia aquifolium","MAAQ",0.5
"70",25,"Mahonia nervosa","MANE",20
"71",25,"Maianthemum racemosum","MARA",0.5
"72",25,"Notholithocarpus densifolius","NODE",35
"73",25,"Philadelphus lewisii","PHLE",1
"74",25,"Polystichum imbricans","POIM",0.5
"75",25,"Pseudotsuga menziesii","PSME",40
"76",25,"Pteridium aquilinum","PTAQ",1
"77",25,"Quercus chrysolepis","QUCH",1
"78",25,"Rosa gymnocarpa","ROGY",0.5
"79",25,"Rubus ursinus","RUUR",1
"80",25,"Salix scouleriana","SASC",1
"81",25,"Toxicodendron diversilobum","TODI",0.5
"82",25,"Trientalis latiolia","TRLA",1
"83",25,"Vicia americana","VIAM",1
"84",25,"Whipplea modesta","WHMO",5
"85",25,"Woodwardia fimbriata","WOFI",1
