,species,UNLS_occ,HS_occ,MANAG_occ,MULT_occ,Rx_occ,total_occ,,ratio,ratio2,ratio3,,ALL SPP,total,mult,Rx,,
6,ADBI,32,0,24,4,56,23,,0,0,0.110119048,,hs,56,49,36,,"(40 plants,15 birds, 1 lichen)"
38,CHME,11,0,9,4,17,8,,0,0,0.330357143,,ls,35,21,24,,"(14 plants, 10  birds, 11 lichens)"
40,CHUM,24,0,13,4,28,15,,0,0,0.146825397,,,,,,,
64,HAFL,3,0,15,7,28,8,,0,0,2.642857143,,%,total,mult,,,
66,HETH,16,0,11,0,28,11,,0,0,0,,hs,56,88,64,,
99,PAWR,11,0,4,4,6,6,,0,0,0.330357143,,ls,35,60,69,,
138,TOSO,3,0,22,7,44,11,,0,0,2.642857143,,,,,,,
139,TRCA,5,0,28,14,50,15,,0,0,2.642857143,,,,,,,
63,GOOB,19,0,0,0,0,7,,0,#DIV/0!,0,,Plants,total,mult,Rx,,
54,Evernia,30,4,17,25,6,20,,0.124579125,0.212962963,0.840909091,,hs,40,34,26,,
145,VILO,24,4,22,18,28,20,,0.152263374,0.17037037,0.734126984,,ls,14,10,8,,
120,RBNU,43,7,61,39,89,45,,0.171296296,0.121693122,0.908482143,,,,,,,
71,HUVI,43,7,24,29,17,29,,0.171296296,0.30976431,0.660714286,,,total,mult,,,
34,CBCH,41,7,24,11,39,27,,0.182716049,0.30976431,0.264285714,,hs,56,85,65,,
22,BRCR,38,7,43,32,61,36,,0.195767196,0.17037037,0.849489796,,ls,35,71,57,,
116,Pyrola,35,7,4,4,6,17,,0.210826211,1.703703704,0.101648352,,,,,,,
79,Lobaria,51,11,9,14,0,26,,0.216374269,1.277777778,0.278195489,,,,,,,
8,Ahtiana,49,11,15,11,22,28,,0.228395062,0.73015873,0.220238095,,birds,total,mult,Rx,,
142,Usnea,65,15,30,32,28,42,,0.228395062,0.486772487,0.495535714,,hs,15,15,10,,
108,Platismatia,46,11,17,18,17,28,,0.241830065,0.638888889,0.388655462,,ls,10,7,10,,
105,PILA,43,11,50,36,72,42,,0.256944444,0.222222222,0.825892857,,,,,,,
13,ANMAD,51,15,28,29,28,36,,0.288499025,0.524216524,0.556390977,,,total,mult,,,
24,Bryoria sp.,49,15,54,32,83,46,,0.304526749,0.272592593,0.660714286,,hs,56,100,67,,
53,Esslingeriana,73,22,52,39,67,56,,0.304526749,0.425925926,0.538359788,,ls,35,70,100,,
97,OSBE,35,11,48,39,61,38,,0.316239316,0.232323232,1.118131868,,,,,,,
78,Letharia,46,15,59,39,83,47,,0.322440087,0.252400549,0.855042017,,,,,,,
140,Tuckermanopsis,78,26,50,32,72,58,,0.330779055,0.518518519,0.410098522,,lichens,total,mult,Rx,,
121,RBSA,11,4,30,11,56,18,,0.342592593,0.121693122,0.991071429,,hs,1,0,0,,
98,Parmelia,32,11,17,18,17,23,,0.342592593,0.638888889,0.550595238,,ls,11,5,6,,
