sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;	1	0	0	8	23	11	25	25	0	0	1	4	1	1	0	1	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;NA;	0	0	0	0	0	1	31	0	1	0	0	0	0	1	1	1	0	1606
Eukaryota;Animalia;Arthropoda;Maxillopoda;Calanoida;Paracalanidae;Paracalanus;	0	85	168	29	354	18	26	151	293	0	0	7	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;NA;	0	0	1	0	0	0	0	0	0	0	1	1	112	34	0	149	0	8
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;	154	1594	6074	1	1	1	1	0	41	291	1082	488	133	957	356	209	197	345
Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;;	136	29	120	0	0	0	0	0	1	191	60	62	74	352	120	506	45	230
Eukaryota;Chromista;Miozoa;Bacillariophyceae;Bacillariales;Bacillariaceae;NA;	0	3	9	0	1	28	121	6059	3	0	0	0	129	0	0	12	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus;	2	401	537	109	256	53	106	336	478	5794	0	0	0	0	0	0	2	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;	27	0	0	61	0	2	1	0	0	1264	1	5	2	22	56	1533	3960	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Laccaria;Laccaria sp.	1	0	1	0	0	0	0	4	5	19	0	0	0	1	8	42	42	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;	9	0	0	0	0	0	0	0	0	2	2353	118	3	11	10	6	9	1
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;Lactarius southworthiae	406	0	1	0	0	0	0	0	0	96	0	0	0	0	12	3	156	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA;	0	28	233	1	6	0	0	0	22	0	0	0	0	1	12	2	71	1
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina;Sebacina incrustans	960	67	133	154	109	172	62	601	82	2339	104	33	0	0	6	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita;Serendipita vermifera	0	2	1	1	1	165	654	1	2	30	32	3	34	24	0	110	26	236
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella sp. AFTOL-ID 1016	42	0	0	4	0	0	0	0	0	17	8	46	0	2	7	24	2	0
Eukaryota;Fungi;Zygomycota;NA;Umbelopsidales;Umbelopsidaceae;Umbelopsis;	135	1	9	21	1	8753	1	2	3	557	139	2882	0	18	335	31	129	87
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;NA;	6	0	0	0	0	0	107	0	0	2	0	0	48	2	0	3	0	64
Eukaryota;Chromista;Ciliophora;Colpodea;Colpodida;Marynidae;Maryna;Maryna ovata	14	2	3641	150	1	16	485	2756	2	19	21	2	4	19	4	14	1	21
Eukaryota;Chromista;Cercozoa;NA;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas parincurva	11	66	507	1	121	0	0	31	552	25	7	1	34	7	11	54	4	58
Eukaryota;Chromista;Cercozoa;NA;Cryomonadida;Rhogostomidae;Rhogostoma;Rhogostoma schuessleri	297	0	0	3	1	2003	6	22	0	267	90	97	95	167	100	553	94	179
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	206	5	70	0	3	0	0	1	42	234	283	224	308	665	90	637	101	493
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	127	1	21	3	4	3	2	9	20	204	78	22	878	148	46	919	74	287
NA;NA;NA;NA;;NA;;	2	10	28	3	34	5	3	7	45	51	5	6	284	12	6	1390	34	76
Eukaryota;Plantae;Streptophyta;Polytrichopsida;Polytrichales;Polytrichaceae;NA;	0	149	287	82	104	51	47	117	646	0	0	0	0	0	0	426	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;	0	307	396	73	72	115	89	204	415	1	1	0	0	0	1	0	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;NA;	0	52	1711	30	14	0	0	0	4	1	1	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	6	0	0	0	0	0	0	0	0	16	4	6	4	12	0	3	1	9
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;Afipia sp. SP17	0	0	1	1	1	0	0	14	333	0	0	0	0	0	1	1	0	1
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;	1	0	0	0	0	0	0	0	6	10	3	12	5	11	3	4	1	3
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;NA;	4	105	13	9	512	0	1	41	5627	15	1	8	4	12	2	3	0	3
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;	2	0	0	0	0	51	1	0	0	12	7	2	7	8	1	9	1	8
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;	0	0	0	1492	31	25	17	1678	1	6	5	1	3	0	1	2	0	1
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;NA;	2	0	0	2	0	0	0	12	0	1	0	0	0	0	0	0	0	1
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;	1	0	0	0	0	0	0	0	0	1	4	0	8	0	0	1	1	3
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;;	4	0	1	3	0	0	0	4	0	12	6	4	6	4	2	3	0	1
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;Methyloligella;Methyloligella halotolerans	0	0	0	35	0	34	9	85	13	0	0	0	0	1	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;NA;	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;	0	2	10	3	4	2	8	5	13	1	0	1	0	0	0	0	0	2
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;Azospirillum lipoferum	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;NA;	0	0	6	2	13	0	4	2	10	0	0	0	2	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;Altererythrobacter sp. AMV9	0	0	8	2	6	7	4	4	8	0	0	0	1	0	0	2	0	0
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;NA;;	0	1	3	1	3	5	2	10	4	2	0	2	2	1	1	5	0	4
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;	3	0	3	0	2	1	0	0	1	8	4	4	23	10	0	9	1	11
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis;	0	0	1	1	1	1	0	0	3	4	2	0	0	1	0	2	1	3
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;	0	0	11	1	2	0	0	0	8	1	3	5	3	1	2	8	1	6
Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas sp.	0	0	5	2	2	6	3	2	7	17	11	1	14	10	0	7	4	14
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	0	1	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;	0	0	1	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0
Prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;NA;	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Eukaryota;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;NA;	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia divergens	0	0	1	0	12	0	2	1	0	4	2	0	0	0	0	1	2	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia microti	0	1	21	1	10	2	0	0	14	15	1	67	3	0	1	0	0	11
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Babesiidae;Babesia;Babesia sp. BiCM002	4	1	3	0	24	0	0	0	4	0	0	0	0	0	19	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Cardiosporidium;Cardiosporidium cionae	0	1	5	3	2	2	1	0	3	0	0	0	0	5	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Theileriidae;Theileria;Theileria sp.	0	2	5	0	11	1	2	3	13	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Theileriidae;Theileria;Theileria tachyglossi	0	0	0	0	1	0	0	1	0	0	10	2	0	0	0	0	0	0
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium parvum	0	0	3	0	0	0	0	0	1	0	4	4	0	0	0	0	0	8
Eukaryota;Chromista;Miozoa;Coccidia;Eucoccidiorida;Sarcocystidae;NA;	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
