sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Leohumicola;Leohumicola minima;	0	5125	424	579	72	47	13	254	255	0	0	1	5	0	0	65	0	17
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Leohumicola;Leohumicola verrucosa;	0	0	3	6	132	214	560	152	1	2	0	0	35	3	1	70	0	18
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	48	4	125	66	5	3	5	8	13	228	33	99	231	37	80	531	72	217
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pseudeurotiaceae;Pseudogymnoascus;;	8	1098	95	578	121	509	61	104	75	12	0	0	4	0	0	12	0	12
Eukaryota;Fungi;Ascomycota;Leotiomycetes;NA;Myxotrichaceae;NA;;	51	11	189	40	5	6	24	1	36	167	3	1	1	33	5	9	23	24
NA;NA;NA;NA;NA;NA;;;	286	0	0	0	0	0	0	0	0	938	1624	360	64	428	129	737	176	825
Eukaryota;Fungi;Ascomycota;NA;NA;NA;Arthrosporium;;	2	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;NA;NA;NA;Monocillium;Monocillium mucidum;	1	357	113	451	566	119	76	80	25	3	0	0	0	0	0	22	0	26
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;;	0	2846	303	1	0	1	1	0	62	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium nonalfalfae;	0	157	1981	228	12	90	27	12	30	0	0	0	0	5	0	0	0	0
Eukaryota;Fungi;Ascomycota;Leotiomycetes;NA;Pseudeurotiaceae;Pseudogymnoascus;;	3	32	10	46	12	4	1	3	46	19	17	72	10	5	56	81	34	32
Eukaryota;Fungi;Ascomycota;Leotiomycetes;NA;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus pannorum;	3	8	4	0	79	3	0	17	0	17	10	3	7	82	6	76	14	38
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;NA;;;	2	88	2	361	48	140	42	13	4	3	2	3	37	6	6	22	5	23
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;;	0	1	0	45	9	0	50	7	4	0	4	0	12	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria ditissima;	2	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	3	3	0	35	0	0	0	0	4	25	25	4	91	11	3	107	37	120
Prokaryota;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium johnsoniae;	0	0	0	24	30	5	0	0	0	5	0	0	0	0	0	0	0	4
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita flavoconia;	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;Amanita rubescens;	0	8	6	218	0	0	0	32	4	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;;	0	0	0	80	17	5	9	40	2	0	0	0	0	0	0	98	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;;	1	477	25	329	3	7	7	2	3	0	0	0	0	0	0	13	0	7
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;NA;;	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	7	16	71
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe;;	2	330	22	8	5	0	7	1	10	22	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrocybe;Hygrocybe miniata;	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus;;	0	0	0	3	0	222	0	0	0	0	0	12	0	3	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;NA;;;	17	1191	1	123	0	19	898	36	7	106	55	11	0	0	12	536	282	39
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;;	1	50	5	254	9	10	13	26	0	0	0	0	0	1	0	0	0	18
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus ostreatus;	0	0	37	42	0	8	4	0	1	0	0	0	0	0	0	0	0	4
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus purpureo-olivaceus;	1	1	13	0	0	0	0	1	0	2	0	1	0	2	3	0	1	35
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;;	0	1	0	1	1	0	8	6	1	0	0	0	0	0	0	9	2	4
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus;Pluteus cervinus;	0	209	92	41	0	1	3	0	27	0	0	0	0	0	0	5	6	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;NA;;	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	38	0	3
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;;	0	0	0	15	0	0	0	0	0	1	0	1	0	2	3	8	1	4
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella candolleana;	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
