sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Curvibasidium;;	0	1	9	0	3	0	0	0	5	1	1	0	43	0	0	8	0	11
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Curvibasidium;Curvibasidium cygneicollum;	1	0	0	0	2	0	0	0	8	1	8	2	3	0	5	0	0	300
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Leohumicola;;	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	11	14	0	0	0	0	0	2	2	5	1	1	5	0	301	0	224
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	7	0	0	10	3	1	0	0	0	16	4	0	0	22	5	5	1	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	1	508	58	5	2	0	0	0	13	30	154	5	24	19	23	50	39	13
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	7
