sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;;	2	0	1	3	0	2572	81	3087	0	370	3	3	0	0	67	9	4	0
Eukaryota;Fungi;Zygomycota;NA;Mortierellales;Mortierellaceae;Mortierella;;	20	1	0	205	2066	883	66	0	0	0	0	0	0	0	45	0	4	2
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;NA;;	0	78	32	801	141	0	0	0	0	1	0	0	1	0	130	54	3320	176
Eukaryota;Plantae;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Weissia;;	0	0	0	0	0	0	0	0	0	0	3284	688	1	0	1	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Brassicales;Brassicaceae;Cardamine;Cardamine hirsuta;	0	0	80	1	0	0	0	0	0	0	1	0	8807	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;NA;Ericales;Ericaceae;Arbutus;Arbutus menziesii;	0	0	0	195	1	0	1	0	0	7250	75	4696	0	0	0	0	32	2056
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA;;	0	0	0	0	55	419	95	0	1	0	0	18	0	0	131	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA;Thelephoraceae sp. B141;	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA;Thelephoraceae sp. B249;	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Pseudotomentella;Pseudotomentella mucidula;	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella lateritia;	0	1	0	1	0	32	0	0	0	26	0	1	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella sp.;	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella sp. 10 SGT-2012;	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella sp. 3 RT-2012;	0	0	0	0	0	0	0	0	0	0	39	10	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella sp. J54;	0	0	0	0	0	1098	0	0	1	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella;Tomentella stuposa;	8	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chaetophorales;Chaetophoraceae;Diplosphaera;Diplosphaera chodatii;	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	0	5
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;;	0	0	0	1	0	0	0	0	0	0	0	0	0	45	0	13	0	8
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. CCAP 11/139;	0	0	0	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. MACC 674;	0	8	3	36	0	0	0	0	0	0	9	0	0	4	1	62	11	81
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. MACC 835;	0	50	21	3	0	0	0	0	18	0	7	0	1	7	19	177	0	84
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;Chloromonas subdivisa;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys culleus;	0	0	0	0	0	0	0	0	0	0	8	0	0	14	0	1	0	1
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;;	0	0	0	0	0	0	0	0	0	0	3	0	0	73	0	10	0	3
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;NA;Chlamydomonadaceae sp. MCWWS30;	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;;;	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Gonium;Gonium octonarium;	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccaceae;Bracteacoccus;;	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Bracteacoccaceae;Bracteacoccus;Bracteacoccus giganteus;	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;NA;;	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	7	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella pyrenoidosa;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella signiensis;	0	0	0	0	0	0	0	0	0	0	16	0	0	4	0	1	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella subsphaerica;	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;;	0	0	0	5	8	0	0	0	1	9	0	0	0	2	0	6	3	3
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;Coenochloris signiensis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;Coenochloris sp. CCCryo142-01;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Elliptochloris;Elliptochloris perforata;	28	0	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	1
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Stichococcus;Stichococcus sp. Z07020;	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Trebouxia;;	0	0	0	0	0	0	0	93	0	19	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Neocystis;Neocystis mucosa;	0	0	14	8	0	0	0	0	9	0	77	0	2	53	0	75	18	50
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Pseudostichococcus;Pseudostichococcus monallantoides;	0	3	2	0	213	0	0	109	50	0	3	0	30	7	13	11	0	756
