kit.name	sum.taxonomy	Fire	Time (Years)	Severity	Latitude	Longitude	Elevation	Day	site_id	group
k0391-LA-S1	EB02	Happy Camp	4	H	41.767799	-123.349144	687	27	52	1
k0392-LA-S2	EB03	Butler	5	H	41.24914301	-123.325018	493	24	34	1
k0392-LA-S1	EB05	Butler	5	L	41.29147204	-123.371253	381	27	6	1
k0390-LC-S2	EB08	Merrill	10	L	41.67005503	-123.336812	416	26	1	1
k0391-LB-S1	EB09	Happy Camp	4	L	41.76745299	-123.3518	711	27	53	1
k0390-LA-S2	EB04	Unburnt	Unburnt	Unburnt	41.244612	-123.319813	673	24	33	1
k0392-LC-S2	EB06	Unburnt	Unburnt	Unburnt	41.54229596	-123.507985	604	24	38	1
k0390-LA-S1	EB07	Unburnt	Unburnt	Unburnt	41.39065803	-123.478017	419	24	30	1
k0390-LB-S2	EB11	Merrill	10	H	41.37695102	-123.453721	241	24	28	2
k0396-LC-S1	EB13	Happy Camp	4	H	41.76002403	-123.3423767	655	29	51	2
k0396-LB-S1	EB14	Stanza	16	H	41.67276599	-123.340337	632	28	47	2
k0396-LC-S2	EB16	Stanza	16	H	41.67005503	-123.336812	662	24	40	2
k0396-LA-S2	EB15	Stanza	16	L	41.66826298	-123.333298	651	28	25	2
k0396-LB-S2	EB17	Stanza	16	L	41.67832696	-123.346275	263	28	41	2
k0390-LA-S1	EB18	Happy Camp	4	L	41.75510896	-123.354389	507	27	49	2
k0390-LB-S1	EB01	Unburnt	Unburnt	Unburnt	41.38877696	-123.485629	439	22	27	2
k0390-LC-S1	EB10	Unburnt	Unburnt	Unburnt	41.24497402	-123.325811	571	24	32	2
k0392-LB-S1	EB12	Unburnt	Unburnt	Unburnt	41.53920396	-123.519883	421	24	37	2
