site_id,fire,sev,fire_yr,tsf,tsf_cat,tree_cov,shrub_cov,herb_cov,bare_cov,slope,aspect,mo,day,yr,dist_to_edge,notes,lat,lon,elev
1,merrill,l,2008,10,2,70,30,2,70,10,220,6,24,2018,50,,41.67005503,-123.336812,416
2,somes,h,2006,12,2,10,80,50,40,40,75,6,23,2018,70,,41.358195,-123.418551,514
3,somes,l,2006,12,2,65,75,1,45,13,165,6,23,2018,200,,41.34927398,-123.410655,408
4,butler,h,2013,5,1,5,75,25,1,40,110,6,13,2018,60,,41.295392,-123.369397,422
5,butler,h,2013,5,1,15,70,30,1,40,90,6,13,2018,90,,41.288935,-123.371652,427
6,butler,l,2013,5,1,60,30,35,35,10,95,6,11,2018,60,rename 6 in swillup hs to 12,41.29147204,-123.371253,381
7,jake,h,2008,10,2,20,75,40,20,37,38,6,16,2018,100,,41.28241003,-123.350073,447
8,jake,l,2008,10,2,75,20,20,60,30,250,6,16,2018,50,,41.27985002,-123.347451,437
9,jake,h,2008,10,2,20,70,6,35,50,240,6,18,2018,60,,41.28120303,-123.348808,445
10,jake,l,2008,10,2,80,20,2,75,20,240,6,18,2018,100,,41.277602,-123.343458,405
12,swillup,h,2001,17,3,45,35,1,30,42,140,7,9,2018,80,,41.58386199,-123.5254,375
13,mill,l,2008,10,2,90,20,5,90,10,120,7,6,2018,60,,41.55467201,-123.53748,510
14,mill,h,2008,10,2,35,70,5,20,10,100,7,6,2018,70,,41.55344004,-123.539104,533
15,swillup,l,2001,17,3,65,45,3,38,30,165,7,9,2018,75,,41.58507099,-123.522799,345
16,swillup,h,2001,17,3,15,75,1,5,45,150,7,7,2018,60,,41.585014,-123.526083,464
17,swillup,l,2001,17,3,85,5,1,95,35,224,7,7,2018,60,,41.583044,-123.528202,403
18,panther,h,2008,10,2,5,90,20,10,43,45,7,4,2018,500,,41.65442303,-123.293437,1047
19,panther,h,2008,10,2,5,90,20,10,25,118,7,4,2018,300,patial damage to cone,41.66144203,-123.282948,1196
20,happy_camp,l,2014,4,1,60,45,15,60,25,238,7,2,2018,100,,41.649745,-123.271858,1043
21,panther,h,2008,10,2,30,75,20,20,40,290,7,2,2018,300,,41.65507204,-123.283257,972
25,stanza,l,2002,16,2,65,70,70,15,30,230,6,26,2018,50,,41.66826298,-123.333298,651
27,unburnt,u,u,u,4,90,50,10,20,30,260,6,22,2018,200,,41.38877696,-123.485629,439
28,merrill,h,2008,10,2,30,80,10,30,40,115,6,22,2018,50,,41.37695102,-123.453721,241
30,unburnt,u,u,u,4,70,40,10,40,25,100,6,24,2018,70,,41.39065803,-123.478017,419
32,unburnt,u,u,u,4,85,60,70,30,35,265,6,12,2018,100,,41.24497402,-123.325811,571
33,unburnt,u,u,u,4,90,30,65,35,28,330,6,14,2018,100,,41.244612,-123.319813,673
34,butler,h,2013,5,1,30,80,25,1,40,120,6,14,2018,50,,41.24914301,-123.325018,493
36,butler,h,2013,5,1,20,20,80,5,40,25,6,12,2018,50,,41.252651,-123.322626,494
37,unburnt,u,u,u,4,65,40,5,35,20,250,7,8,2018,500,,41.53920396,-123.519883,421
38,unburnt,u,u,u,4,95,20,5,75,30,145,7,8,2018,500,,41.54229596,-123.507985,604
40,stanza,h,2002,16,2,25,90,15,10,30,250,6,26,2018,50,Cone leaked and empty 5 identical lepidoptera captured only 2 kept,"	41.67005503",-123.336812,662
41,stanza,l,2002,16,2,95,15,10,80,42,245,6,28,2018,50,,41.67832696,-123.346275,263
42,king_titus,h,1987,31,3,85,20,10,80,40,87,7,3,2018,100,,41.66455097,-123.370817,1014
43,king_titus,l,1987,31,3,90,15,7,70,25,90,7,3,2018,75,,41.66330801,-123.376841,1123
44,king_titus,l,1987,31,3,70,60,30,15,30,110,7,1,2018,70,,41.65820796,-123.380405,1148
46,king_titus,h,1987,31,3,75,40,10,25,40,112,7,1,2018,100,see note about plants on bird survey form,41.66806499,-123.371474,1002
47,stanza,h,2002,16,2,30,80,90,10,10,230,6,28,2018,50,,41.67276599,-123.340337,632
49,happy_camp,l,2014,4,1,75,35,15,80,50,320,6,29,2018,75,,41.75510896,-123.354389,507
51,happy_camp,h,2014,4,1,0,65,15,15,30,290,6,29,2018,150,,41.76002403,-123.3423767,655
52,happy_camp,h,2014,4,1,5,50,15,35,45,40,6,27,2018,50,,41.767799,-123.349144,687
53,happy_camp,l,2014,4,1,70,30,30,70,40,25,6,27,2018,100,,41.76745299,-123.3518,711
54,butler,l,2013,5,1,95,5,20,75,41,155,6,11,2018,50,,41.29341203,-123.369848,385
55,hotelling,l,1987,31,3,80,40,85,15,30,5,6,19,2018,120,partial damage to flight intercept trap  cone destroyed,41.23535796,-123.280041,598
56,hotelling,h,1987,31,3,60,70,3,40,50,132,6,19,2018,9,,41.23075504,-123.283287,705
57,hotelling,l,1987,31,3,70,10,20,80,35,340,6,17,2018,60,,41.23252798,-123.2851,729
58,hotelling,h,1987,31,3,5,80,30,25,60,270,6,17,2018,200,,41.222954,-123.290046,869
59,somes,l,2006,12,1,75,30,1,80,35,100,6,21,2018,200,,41.34844501,-123.422575,674
60,somes,h,2006,12,1,35,85,1,80,30,170,6,21,2018,60,,41.35091004,-123.419919,632
