site_id,species,layer1_cov,layer1_ht,layer2_cov,layer2_ht,layer3_cov,layer3_ht,regr_ht,PSME_regr_ht
1,NODE,5,4,,,,,,
1,UMCA,35,3,,,,,,
1,ARME,15,25,,,,,,
1,PSME,70,40,,,,,,
1,TODI,3,1,,,,,,
1,QUCH,10,25,,,,,,
1,QUKE,10,20,,,,,,
1,COCO,1,0.1,,,,,,
2,QUKE,5,5,,,,,5,0
2,QUCH,1,5,15,2,,,,
2,ARME,1,8,10,2,,,,
2,NODE,5,15,10,2,,,,
2,TODI,20,1,,,,,,
2,CEIN,30,1.5,,,,,,
2,COCO,20,2,,,,,,
2,ROGY,2,1,,,,,,
2,RIRO,1,1,,,,,,
3,PSME,50,35,35,2,,,,
3,NODE,25,30,,,,,,
3,QUCH,0.5,1,,,,,,
3,TODI,1,1,,,,,,
3,GAFR,0.5,1,,,,,,
3,ARME,15,10,,,,,,
3,QUKE,10,15,,,,,,
3,CEIN,30,2,,,,,,
4,PIAT,15,1.5,,,,,1.5,0
4,GAFR,50,2,,,,,,
4,QUCH,5,7,10,1,,,,
4,CEIN,20,1.5,,,,,,
4,SANIG,1,3,,,,,,
4,CEOC,2,1,,,,,,
4,ARME,1,1.5,,,,,,
4,TODI,5,0.5,,,,,,
5,QUCH,5,5,5,1,,,5,0
5,QUKE,20,10,,,,,,
5,PSME,15,30,,,,,,
5,ARME,20,5,,,,,,
5,CEIN,40,2,,,,,,
5,TODI,15,1,,,,,,
5,QUGA,10,12,,,,,,
5,PIAT,1,1,,,,,,
5,GAFR,1,1,,,,,,
6,PSME,55,35,5,5,,,,
6,TODI,15,1,,,,,,
6,ARME,5,12,1,3,,,,
6,QUCH,1,8,,,,,,
6,QUKE,1,7,,,,,,
6,NODE,5,8,,,,,,
6,CEIN,1,0.2,,,,,,
6,PIAT,0.5,0.5,,,,,,
6,PHLE,0.5,1.5,,,,,,
6,COCO,0.5,1,,,,,,
6,CEOC,0.5,1.5,,,,,,
6,GAFR,0.5,1.5,,,,,,
7,ARME,18,4,,,,,4,0
7,PSME,10,30,,,,,,
7,QUCH,7,7,7,2,,,,
7,QUKE,5,5,,,,,,
7,QUGA,4,8,4,2,,,,
7,CEIN,45,2,,,,,,
7,TODI,25,1.5,,,,,,
7,PHLE,1,1.5,,,,,,
7,PILA,1,35,,,,,,
7,ARVI,0.5,0.5,,,,,,
7,COCO,1,2,,,,,,
7,GAFR,1,2,,,,,,
8,PSME,65,30,10,0.3,,,,
8,ARME,15,15,1,2,,,,
8,PILA,10,40,,,,,,
8,QUCH,20,15,10,2,,,,
8,PIPO,5,40,,,,,,
8,QUKE,5,20,,,,,,
8,CEIN,25,1,,,,,,
8,TODI,5,1,,,,,,
9,QUCH,10,2,,,,,4,0
9,QUGA,1,12,1,4,,,,
9,CEIN,60,2,,,,,,
9,RIRO,5,0.5,,,,,,
9,CEOC,15,2.5,,,,,,
9,TODI,15,1.5,,,,,,
9,ARME,5,4,,,,,,
9,PSME,20,30,,,,,,
9,ACMA,1,4,,,,,,
10,PSME,60,20,,,,,,
10,ARME,10,15,5,3,,,,
10,QUCH,70,15,15,2.5,,,,
10,QUGA,0.5,10,,,,,,
10,TODI,10,2,,,,,,
10,RIRO,0.5,0.5,,,,,,
10,CEIN,5,2.8,,,,,,
10,ARVI,0.5,1.7,,,,,,
10,PILA,1,35,,,,,,
12,ARME,30,6,,,,,6,0
12,QUCH,45,4,,,,,,
12,CEIN,15,1.8,,,,,,
12,PSME,20,20,,,,,,
12,GAFR,1,3,,,,,,
12,TODI,15,1,,,,,,
12,RIRO,1,1,,,,,,
12,ARVI,0.5,1,,,,,,
12,PILA,5,20,,,,,,
12,NODE,1,4,,,,,,
13,PSME,85,25,,,,,,
13,NODE,20,18,10,1.5,,,,
13,UMCA,1,2,,,,,,
13,CADE,0.5,3,,,,,,
13,ARME,1,12,,,,,,
13,TODI,1,1,,,,,,
14,NODE,15,15,55,3,,,3,0.5
14,ARME,5,20,10,3,,,,
14,PSME,20,40,3,0.5,,,,
14,TODI,1,1,,,,,,
14,ARVI,3,1,,,,,,
14,CEIN,50,2,,,,,,
14,RIRO,1,0.8,,,,,,
15,QUCH,35,15,35,4,,,,
15,ARME,15,15,5,2,,,,
15,PSME,50,30,,,,,,
15,TODI,15,1.5,,,,,,
15,NODE,20,5,,,,,,
15,CEIN,5,1.5,,,,,,
15,ACMA,5,15,,,,,,
16,NODE,50,5,,,,,5,2.5
16,CEIN,35,2,,,,,,
16,ARME,10,4,,,,,,
16,TODI,3,15,,,,,,
16,QUCH,40,4,,,,,,
16,PSME,2,35,1,2.5,,,,
16,ARVI,1,1,,,,,,
16,RIRO,0.5,1,,,,,,
17,PSME,45,35,,,,,,
17,QUCH,50,25,,,,,,
17,ARME,15,20,,,,,,
17,UMCA,1,4,,,,,,
17,QUKE,0.5,8,,,,,,
17,NODE,1,1,,,,,,
17,TODI,1,0.5,,,,,,
18,NODE,2,4,,,,,4,0
18,SASC,4,3,,,,,,
18,CEIN,75,1.8,,,,,,
18,QUKE,25,3.5,,,,,,
18,ARME,10,4,,,,,,
18,TODI,15,1.5,,,,,,
18,ACMA,1,0.5,,,,,,
18,CHCH,0.5,3,,,,,,
18,CONU,1,1.5,,,,,,
18,PIPO,0.5,2.5,,,,,,
18,QUCH,1,1.5,,,,,,
18,SYMO,5,0.2,,,,,,
19,ARME,15,4,,,,,5.5,0.5
19,QUKE,5,3,,,,,,
19,CEIN,75,1.8,,,,,,
19,QUCH,1,1.5,,,,,,
19,PIPO,0.5,1.5,,,,,,
19,ARPA,0.5,1,,,,,,
19,ARVI,0.5,1,,,,,,
19,SASC,15,4,,,,,,
19,PSME,0.5,0.5,,,,,,
19,ROGY,1,1,,,,,,
19,ACMA,5,5.5,,,,,,
19,TODI,0.5,1,,,,,,
19,NODE,1,3,,,,,,
20,QUCH,40,10,,,,,,
20,PIPO,20,35,,,,,,
20,PILA,12,35,,,,,,
20,QUKE,2,2.5,,,,,,
20,PSME,15,35,,,,,,
20,CEIN,15,2.5,,,,,,
20,CHCH,7,1,,,,,,
20,ARME,0,15,,,,,,
20,TODI,5,0.2,,,,,,
20,COCO,4,1.5,,,,,,
20,ACMA,4,15,,,,,,
20,CONU,5,1,,,,,,
20,SYMO,3,0.2,,,,,,
21,CEIN,70,2.5,,,,,6,0.5
21,CONU,15,2.5,,,,,,
21,QUCH,15,1.5,,,,,,
21,MANE,10,0.5,,,,,,
21,CHCH,15,3,,,,,,
21,PSME,5,35,1,0.5,,,,
21,ACMA,30,6,,,,,,
21,ARME,10,3,,,,,,
21,CADE,0,15,,,,,,
21,ROGY,1,1,,,,,,
21,RIRO,0.5,0.5,,,,,,
21,RUPA,5,0.5,,,,,,
21,ABCO,1,0.5,,,,,,
21,SASC,0.5,1,,,,,,
21,PIPO,5,3,,,,,,
21,ALRH,15,6,,,,,,
21,SALU,1,6,,,,,,
21,QUKE,0.5,2,,,,,,
25,ROGY,1,1,,,,,,
25,PHLE,0.5,2,,,,,,
25,TODI,1,0.1,,,,,,
25,MANE,20,0.4,,,,,,
25,NODE,40,16,40,5,,,,
25,ARME,5,15,,,,,,
25,PSME,55,45,,,,,,
25,QUCH,1,10,,,,,,
25,COCO,5,2,,,,,,
25,ACMA,20,6,,,,,,
25,CONU,1,4,,,,,,
25,CADE,5,45,,,,,,
25,SASC,1,2,,,,,,
25,CEIN,0.5,0.5,,,,,,
25,MAAQ,0.5,1,,,,,,
27,PSME,75,30,,,,,,
27,QUCH,5,20,10,8,40,1.5,,
27,ARME,2,10,,,,,,
27,UMCA,5,5,,,,,,
27,TODI,15,0.4,,,,,,
27,ARVI,1,15,,,,,,
27,QUKE,5,12,,,,,,
27,NODE,1,1,,,,,,
28,ARME,25,7,,,,,5,0
28,QUCH,5,7,15,2,,,,
28,PSME,45,10,,,,,,
28,CONU,5,3,,,,,,
28,TODI,30,1.5,,,,,,
28,QUKE,10,5,,,,,,
28,PIPO,1,40,,,,,,
28,RIRO,1,1,,,,,,
28,CEIN,10,2,,,,,,
28,HEAR,0.5,1.5,,,,,,
28,NODE,5,4,,,,,,
30,QUCH,25,12,,,,,,
30,PSME,60,1,,,,,,
30,COCO,15,2,,,,,,
30,NODE,30,17,,,,,,
30,QUKE,15,12,,,,,,
30,UMCA,5,1,,,,,,
30,ARME,5,35,,,,,,
30,TODI,5,0.2,,,,,,
32,QUCH,20,32,30,2,,,,
32,PILA,0.5,1.5,15,35,5,1.5,,
32,PSME,30,60,,,,,,
32,COCO,2,2,,,,,,
32,NODE,30,4,,,,,,
32,CONU,1,5,,,,,,
32,ACMA,15,10,,,,,,
32,TODI,10,1,,,,,,
32,ARME,5,4,,,,,,
32,OECE,0.5,0.5,,,,,,
32,QUKE,0.5,0.5,,,,,,
33,PSME,40,45,25,25,10,5,,
33,QUKE,20,18,,,,,,
33,QUCH,10,13,5,1,,,,
33,NODE,10,5,,,,,,
33,ARME,15,12,,,,,,
33,PILA,5,45,2,4,,,,
34,PSME,5,40,10,10,,,6,0
34,ARME,8,4,,,,,,
34,QUKE,5,6,20,2.5,,,,
34,CEIN,40,2,,,,,,
34,TODI,15,1,,,,,,
34,ACMA,2,5,,,,,,
34,COCO,2,2,,,,,,
34,QUCH,1,4,2,1,,,,
34,QUGA,1,2,,,,,,
36,PSME,15,47,,,,,3,0
36,PILA,5,47,,,,,,
36,QUKE,0.5,3,,,,,,
36,NODE,5,3,,,,,,
36,ARME,10,3,,,,,,
36,AIAL,0.5,3,,,,,,
36,TODI,20,0.5,,,,,,
36,ROGY,10,1.5,,,,,,
36,COCO,5,0.7,,,,,,
36,RIRO,5,1,,,,,,
36,PIAT,5,0.5,,,,,,
36,QUCH,0.5,1,,,,,,
36,PHLE,1,1,,,,,,
37,NODE,70,35,45,7,65,1.5,,
37,ARME,10,6,,,,,,
37,PSME,30,45,,,,,,
37,CONU,5,6,,,,,,
37,TODI,3,0.4,,,,,,
37,ACMA,5,7,,,,,,
37,ALRH,1,30,,,,,,
37,MANE,0.5,0.5,,,,,,
38,NODE,60,7,40,2,,,,
38,TODI,5,0.5,,,,,,
38,PSME,35,28,,,,,,
38,PIPO,30,28,,,,,,
38,ARME,1,10,,,,,,
38,PILA,5,35,,,,,,
38,ROGY,0.5,0.5,,,,,,
38,SYMO,1,0.5,,,,,,
38,QUKE,0.5,5,,,,,,
40,TODI,7,1.5,,,,,8,0
40,CEIN,70,2,,,,,,
40,PSME,20,35,,,,,,
40,NODE,30,6,,,,,,
40,QUKE,20,8,,,,,,
40,QUGA,5,6,,,,,,
40,ARME,10,15,,,,,,
40,QUCH,0.5,1.5,,,,,,
40,CADE,0.5,0.2,,,,,,
