"full_name"
"1" "Ahtiana pallidula"
"2" "Alectoria sarmentosa"
"3" "Bryoria sp."
"4" "Esslingeriana idahoense"
"5" "Evernia prunastri"
"6" "Fuscopannaria sp."
"7" "Hypogymnia imshaugii"
"8" "Hypogymnia metaphysodes"
"9" "Kaernefeltia merrillii"
"10" "Letharia vulpina"
"11" "Lobaria anthraspis"
"12" "Melanelixia californica"
"13" "Nephroma resupinatum"
"14" "Parmelia sulcata"
"15" "Physcia alnophyllla"
"16" "Physcia biziana"
"17" "Physconia californica"
"18" "Physconia sp."
"19" "Platismatia glauca"
"20" "Polycauliona sp."
"21" "Ramalina dilacerata"
"22" "Tuckermanopsis orbata"
"23" "Usnea sp."
"24" "Vulpicida canadensis"
"25" "Xanthomendoza hasseana"
