"","species","NMDS1","NMDS2","r","pval","sum"
"1","ACMA",-0.201293983809445,0.979530873470624,0.220758141513867,0.0035,20
"2","ACMI",0.764019080669929,0.645193648738327,0.154867160453454,0.0215,6
"3","ACTR",-0.75425330366876,0.656583546781947,0.322821039915202,4e-04,8
"4","ADBI",-0.954173654912938,-0.299253464925782,0.0371586426005591,0.4239,7
"5","AGGR",0.456315416839874,0.889818093968791,0.170587103144199,0.0116,6
"6","ANMAD",0.417334981539631,-0.908752723893203,0.0790747018021573,0.1545,17
"7","APAN",0.617373348816073,0.786670291908642,0.100435609132567,0.097,12
"8","ARDI",-0.96085750836767,0.277043044694274,0.0741362437017195,0.1748,10
"9","ARME",-0.975103503909013,0.221750212320903,0.0937919466456104,0.1133,45
"10","ARVI",0.659222379780043,-0.751948039426353,0.0679932058015113,0.2104,8
"11","BRSE",0.553504513337141,0.832846176502849,0.222877156092117,0.002,5
"12","CADE",0.0163115390225557,0.999866957997271,0.0462912421215613,0.3444,7
"13","CAMU",-0.953516330822091,-0.301341346077131,0.000989053412282677,0.9786,7
"14","CAOC",0.860656422750104,0.509186136868428,0.264265318505108,7e-04,5
"15","CASC",0.257864890636259,0.966180986242821,0.23693951974556,0.0022,11
"16","CEIN",0.688687169962051,0.725058605858631,0.463339967619352,1e-04,35
"17","CHCH",-0.494920583656362,0.86893821176954,0.108095742594923,0.0719,7
"18","CHUM",-0.962312650979653,0.271945512491956,0.151481264266641,0.0237,7
"19","COCO",-0.208488497347079,0.978024818945796,0.0628412622835138,0.2327,19
"20","COHE",0.386219872213505,0.922406748840978,0.00751450415788995,0.8429,13
"21","CONU",-0.667975670978846,0.744183111189955,0.392227140543661,1e-04,13
"22","DAPU",0.999986780786397,-0.00514181412138829,0.323397571648346,1e-04,5
"23","ELGL",0.928662205811012,0.370926552700432,0.360471197213521,4e-04,18
"24","FECA",0.749782337779847,-0.66168455169619,0.183977488698386,0.0116,14
"25","FEMI",0.998228059199574,-0.0595041328535396,0.233098154584056,0.002,7
"26","FEOC",0.563681414648006,-0.825992289782673,0.0180159839660036,0.6546,17
"27","GABO",0.671966413301289,-0.740581622371904,0.302955332359076,6e-04,13
"28","GAFR",0.86665052742194,-0.498915687585862,0.161937417963326,0.0172,7
"29","GATR",0.213534663431711,0.976935487897285,0.0553125162442322,0.2695,10
"30","HIAL",0.657858633258417,-0.753141433362531,0.169042349832308,0.0155,16
"31","IRTE",-0.85415452583414,-0.520019274639946,0.108511810331784,0.0796,20
"32","LOHI",0.0449207929648689,-0.998990551686755,0.385106901017795,2e-04,33
"33","MAGR",0.867382709407597,0.497641673717884,0.417767472717261,1e-04,13
"34","MANE",-0.685196168237263,0.728358573116959,0.312276165630323,2e-04,9
"35","MARA",-0.708906888671207,0.70530207939188,0.250761635321366,0.0012,6
"36","MECA",0.932563671676486,-0.361005537726599,0.526790349439957,1e-04,19
"37","NODE",-0.994825101073819,-0.101602255257769,0.453398188960701,2e-04,33
"38","OSBE",0.893987553784955,-0.44809179157578,0.115935225945981,0.0615,9
"39","PHLE",0.598015903778448,0.801484234921715,0.0552321287217955,0.2938,5
"40","PILA",-0.955929246362771,-0.293597132050544,0.0127524616480546,0.7479,12
"41","PIPO",0.0766621385639232,0.997057128007621,0.281641398010922,8e-04,12
"42","POCO",0.385563214199584,-0.922681422732725,0.266233067966932,0.0013,10
"43","POIM",0.204124041851992,-0.978945031928763,0.138680813168926,0.0328,21
"44","PRHO",-0.650648248660845,0.759379257363918,0.408381294662992,1e-04,13
"45","PSME",-0.958317251251991,-0.285706223160835,0.279548342268978,6e-04,43
"46","PTAQ",-0.654483535431385,0.756076253991114,0.208235173854086,0.0067,19
"47","PYAP",-0.999960124256546,0.00893027977346023,0.118086678222716,0.0579,8
"48","PYPI",-0.924299329149951,-0.381668377171794,0.129883629447467,0.0408,7
"49","QUCH",0.99636899211782,0.0851400701557056,0.0928066709826707,0.1097,40
"50","QUGA",0.997843468214023,0.0656385019832921,0.189704818484767,0.0072,9
"51","QUKE",0.512141743809627,0.85890094553891,0.0537815651103141,0.2911,32
"52","RIRO",0.999932648894482,0.0116059327442959,0.398538048949376,2e-04,21
"53","RISA",-0.541272522191811,0.840847225552963,0.0359803837651611,0.4485,5
"54","ROGY",-0.47639474321999,0.879231510259021,0.372662263621011,2e-04,19
"55","RULE",0.80195300107654,0.597387130815798,0.291982884880376,9e-04,19
"56","RUPA",-0.36418369510083,0.931327137059103,0.305136164830416,5e-04,11
"57","RUUR",-0.304185533436491,0.952612807623306,0.297194990209699,7e-04,9
"58","SACR",0.999050008380526,-0.0435784436949186,0.231454117148104,0.0021,6
"59","SASC",0.100810796322869,0.994905615294611,0.279685668768349,6e-04,9
"60","SI",0.34990188311332,0.936786353547997,0.262947881060617,3e-04,5
"61","SOPA",0.999974785327214,-0.0071013174687669,0.354331576948104,1e-04,9
"62","SYMO",-0.501817971642169,0.864973250070162,0.172707358221949,0.0149,15
"63","TODI",0.993292506086829,-0.115628704704956,0.00752781696157248,0.8444,43
"64","TRLA",-0.00534880356026761,0.999985695047921,0.244610400829206,0.0015,24
"65","VAHE",0.999556839108522,-0.0297678583606612,0.0105726579497647,0.7908,5
"66","VIAM",0.234537708569139,0.972107022533598,0.244957834421672,0.0014,9
"67","VILO",-0.995782875536259,-0.0917412927134776,0.118242648042891,0.0585,5
"68","WHMO",-0.858902439732009,0.512139237925003,0.186156615252381,0.0117,11
