rdata$group,AR,BE,XX,CM,DL,geom,,,UN,LS1,LS2,HS1,HS2
1,0.217068944,0,0.181625523,0.525750637,0.075554909,0.004279504,,,0.065176253,0.024072731,0.024429021,0.66969852,0.216624188
2,0.050574979,0.177665554,0,0.567865698,0.203896474,0.00437688,,,,,,,
3,0.017544724,0,0,0.543451695,0.439003632,0.00439248,,,,,,,
4,0.150166717,0,0.279136626,0.376471377,0.194225286,0.004193018,,,,,,,
5,0,0,0,0.664867896,0.335132134,0.004584374,,,This was obtained by limiting the analysis to the 30 species which had more than 10 presences and absences,,,,
6,0.258189598,0,0,0.652363876,0.089448941,0.004374393,,,,,,,
7,0.124779012,0.052917642,0.034723417,0.50263028,0.284949728,0.004267995,,,,,,,
8,0.002903865,0,0.089179156,0.782914601,0.125005119,0.00436527,,,,,,,
9,0.039182197,0,0.036681873,0.624028044,0.300107964,0.004334813,,,,,,,
10,0.196949383,0,0,0.711652665,0.09139798,0.004396568,,,,,,,
11,0,0.070464372,0,0.666810494,0.262725175,0.00423693,,,,,,,
12,0.046195321,0.168051932,0,0.534186904,0.251565875,0.004371261,,,,,,,
13,0.117971157,0,0,0.882031549,0,0.004570812,,,,,,,
14,0,0.069515508,0,0.655742607,0.27474187,0.00441522,,,,,,,
15,0.067675778,0,0,0.749753622,0.182570642,0.004438042,,,,,,,
16,0,0,0,0.866669531,0.13333051,0.004574108,,,,,,,
17,0.0448269,0.217892495,0,0.737283352,0,0.004254866,,,,,,,
18,0.181770455,0,0,0.818230552,0,0.004499986,,,,,,,
19,0.103769234,0.063294252,0,0.685516784,0.147420371,0.004372218,,,,,,,
20,0,0.165741645,0,0.573517494,0.260743296,0.004249086,,,,,,,
21,0.029793716,0,0.043309672,0.605248729,0.321650552,0.004470574,,,,,,,
22,0,0,0,0.777064272,0.222935795,0.004688738,,,,,,,
23,0,0.154544895,0,0.682044909,0.163410228,0.004294568,,,,,,,
24,0.106978143,0,0,0.725252156,0.167769768,0.004428137,,,,,,,
25,0.077356363,0,0.096640717,0.826002997,0,0.004369603,,,,,,,
26,0.036569382,0.024936614,0,0.628639358,0.309854699,0.00448709,,,,,,,
27,0.034437799,0,0,0.627870234,0.337694475,0.004314973,,,,,,,
28,0,0.108810964,0,0.627869204,0.263319889,0.004256296,,,,,,,
29,0.202741042,0,0,0.660207208,0.137054057,0.004328848,,,,,,,
30,0,0,0,0.612860429,0.387139607,0.004435257,,,,,,,
31,0,0.082047452,0,0.689217925,0.228734608,0.004373291,,,,,,,
32,0.094853413,0,0,0.668839665,0.236308091,0.004349417,,,,,,,
33,0,0,0.130889757,0.635598242,0.233512024,0.004387932,,,,,,,
34,0.077628688,0,0,0.922371336,0,0.004511928,,,,,,,
35,0.033398984,0.125870342,0,0.597840288,0.242890434,0.004316088,,,,,,,
36,0.028646921,0,0,0.623242021,0.348111079,0.00427012,,,,,,,
37,0,0,0,0.728432257,0.271567788,0.004400773,,,,,,,
38,0.050827396,0,0,0.691548205,0.257624461,0.004474294,,,,,,,
39,0.028243754,0.043078446,0.060110419,0.607252775,0.261317339,0.004490609,,,,,,,
40,0.176299537,0.033092311,0,0.759400255,0.031210426,0.004386252,,,,,,,
41,0,0,0,0.738521721,0.261478325,0.004528806,,,,,,,
42,0.108723045,0,0,0.571212965,0.320063992,0.0043645,,,,,,,
43,0.078246593,0,0.030941484,0.692426879,0.19838507,0.004339689,,,,,,,
44,0.119373633,0,0.117730849,0.712870652,0.050027632,0.004311784,,,,,,,
45,0.079343839,0,0,0.559222186,0.361434004,0.004334667,,,,,,,
46,0,0.001494292,0,0.561821626,0.436684111,0.004167096,,,,,,,
47,0,0,0,0.691690316,0.308309708,0.004342287,,,,,,,
48,0.242414957,0.019868381,0,0.718522843,0.0191939,0.004300426,,,,,,,
49,0,0,0.016674907,0.661457136,0.321867996,0.004530512,,,,,,,
50,0.085380751,0,0,0.626901554,0.287720443,0.004315058,,,,,,,
51,0.03482795,0.057578187,0,0.754066108,0.153527764,0.004251694,,,,,,,
52,0.077669853,0,0.098777273,0.63958279,0.183972793,0.004362975,,,,,,,
53,0,0,0,0.771324042,0.228676011,0.004375076,,,,,,,
54,0.248663589,0,0,0.728183174,0.023153352,0.00431268,,,,,,,
55,0.040811735,0,0,0.650726726,0.308461523,0.004413279,,,,,,,
56,0.070005035,0,0.054086843,0.488414677,0.387493456,0.004311028,,,,,,,
57,0,0.093958714,0,0.64285929,0.263182047,0.004261216,,,,,,,
58,0.186975665,0.035409792,0,0.695459435,0.082155192,0.004293446,,,,,,,
59,0.065642792,0,0,0.75944635,0.174910903,0.004474995,,,,,,,
60,0.033903033,0.122630142,0,0.674151804,0.169315085,0.004393094,,,,,,,
61,0,0,0,0.660731611,0.339268391,0.004437614,,,,,,,
62,0.122226438,0,0,0.798640844,0.079132746,0.004545579,,,,,,,
63,0,0,0.15454269,0.48094876,0.36450855,0.004378408,,,,,,,
64,0.091760972,0.102410502,0,0.714169489,0.091659039,0.004231153,,,,,,,
65,0.098217009,0,0.155055709,0.682269272,0.064460749,0.004262578,,,,,,,
66,0.001959137,0,0.049853959,0.700878696,0.247308184,0.004456893,,,,,,,
67,0,0,0,0.65189258,0.348107456,0.004458287,,,,,,,
68,0.112875406,0,0,0.621719745,0.265404883,0.004310564,,,,,,,
69,0,0,0,0.771855686,0.228144345,0.004597062,,,,,,,
70,0,0.049933393,0,0.80398989,0.146076787,0.00436336,,,,,,,
71,0.013146209,0.073184575,0,0.668336264,0.245335138,0.004331623,,,,,,,
72,0.103728224,0,0,0.778444567,0.11782723,0.004379863,,,,,,,
73,0,0.090184016,0,0.645735532,0.264080513,0.004287811,,,,,,,
74,0.11403088,0,0.049131112,0.587577733,0.249263038,0.004350757,,,,,,,
75,0.09422977,0,0,0.649448092,0.256322237,0.004360106,,,,,,,
76,0,0,0.151137234,0.573171805,0.275691008,0.004204706,,,,,,,
77,0,0.083997152,0,0.597717903,0.318284933,0.004429467,,,,,,,
78,0.044829801,0.080991549,0,0.688524676,0.185653998,0.004461235,,,,,,,
79,0.104600397,0,0.044494213,0.493261481,0.357643918,0.00430368,,,,,,,
80,0.058080978,0.013459112,0.162293507,0.503011003,0.263155427,0.004293269,,,,,,,
81,0.206564962,0,0,0.575258655,0.218176412,0.004345346,,,,,,,
82,0.228102547,0,0,0.53143774,0.240462414,0.004234375,,,,,,,
83,0,0.067274538,0,0.609968318,0.322757193,0.004340092,,,,,,,
84,0.098085823,0,0,0.901916851,0,0.004377867,,,,,,,
85,0,0,0,0.794176309,0.20582373,0.004593767,,,,,,,
86,0.198154436,0,0,0.643565252,0.158283054,0.004439773,,,,,,,
87,0.22016965,0.037205682,0,0.721961439,0.020665954,0.004498325,,,,,,,
88,0.253601885,0.069844013,0,0.676556839,0,0.004242386,,,,,,,
89,0,0.044155224,0,0.535350739,0.420494051,0.004332042,,,,,,,
90,0.128997077,0,0,0.606121261,0.264881697,0.004439542,,,,,,,
91,0,0.03166652,0.132737321,0.646364454,0.189234464,0.004303867,,,,,,,
92,0,0,0,1,0,0.00448031,,,,,,,
93,0.074103594,0,0,0.701553806,0.224342642,0.004406518,,,,,,,
94,0.114115043,0,0,0.727214669,0.158672624,0.004237601,,,,,,,
95,0.023236508,0,0.048663057,0.627681964,0.300418514,0.004413004,,,,,,,
96,0,0.117980363,0,0.533100374,0.34891928,0.004297216,,,,,,,
97,0.272117343,0,0.016108998,0.590493189,0.121280528,0.004173825,,,,,,,
98,0.194609096,0,0.075847385,0.603046375,0.126499888,0.004276404,,,,,,,
99,0.094549425,0,0.014368967,0.627735592,0.263348744,0.004472355,,,,,,,
100,0.107651779,0,0.002520231,0.616973816,0.272854199,0.004484728,,,,,,,
101,0.056485261,0,0,0.54463491,0.398879854,0.004420373,,,,,,,
102,0.128726297,0,0,0.754349456,0.116926967,0.004345148,,,,,,,
103,0,0.049335882,0.023979117,0.572368766,0.354318975,0.004404506,,,,,,,
104,0,0,0,0.731658181,0.268341847,0.004359969,,,,,,,
105,0,0.219924548,0,0.621451986,0.158623528,0.004356414,,,,,,,
106,0.172618371,0.082356872,0.084833199,0.660194293,0,0.004273822,,,,,,,
107,0.026576079,0,0,0.634190516,0.339236154,0.004351888,,,,,,,
108,0,0,0.120881146,0.640513552,0.238608007,0.004402694,,,,,,,
109,0,0,0,0.737223383,0.262776668,0.004428023,,,,,,,
110,0.042298447,0,0.019288947,0.712735531,0.22567711,0.004445768,,,,,,,
111,0,0,0,0.60632596,0.393674064,0.004416776,,,,,,,
112,0.074246159,0,0,0.608209927,0.317543971,0.004415661,,,,,,,
113,0.027511737,0.094792069,0,0.62072592,0.256970266,0.004335602,,,,,,,
114,0,0,0.060746812,0.747386495,0.191866703,0.004457941,,,,,,,
115,0.170518803,0,0,0.82948266,0,0.00452849,,,,,,,
116,0.173764021,0,0,0.676451629,0.149784433,0.004366395,,,,,,,
117,0.089740182,0,0.029707802,0.788820493,0.09173157,0.004428246,,,,,,,
118,0.118236603,0.041192767,0.13548355,0.426302191,0.278784939,0.004290132,,,,,,,
119,0.125355227,0,0.179299496,0.614562014,0.080785959,0.004243776,,,,,,,
120,0.044896489,0,0.099027482,0.71624921,0.139829513,0.004478845,,,,,,,
121,0.053291334,0.069022369,0,0.649587326,0.228101692,0.004258788,,,,,,,
122,0.131084013,0.104258509,0,0.486772322,0.277887819,0.004072407,,,,,,,
