"","group","indval","pvalue","freq"
"SPTO",1,0.00988068057474531,0.012,38
"WREN",1,0.00899550224887556,1e-04,12
"LAZB",1,0.00824587706146927,2e-04,11
"MGWA",1,0.00731341646250046,0.0036,15
"ACWO",1,0.00617879071363501,0.0296,15
"WEWP",1,0.00463783259885209,0.0201,8
"LEGO",1,0.00449775112443778,0.0071,6
"XXHU",1,0.00389978421194027,0.0447,7
"BUSH",1,0.00374812593703148,0.0213,5
"BEWR",1,0.00299850074962519,0.0441,4
"OCWA",1,0.00299850074962519,0.0488,4
"CAVI",2,0.00898933578736534,0.0083,27
"HEWA",2,0.0073672168655009,0.0065,18
"RBNU",2,0.0073672168655009,0.0084,18
"CBCH",2,0.00650751547303271,0.0135,15
"BRCR",2,0.00607483492296405,0.0356,16
"PAWR",2,0.00413793103448276,0.0229,6
