"","group","indval","pvalue","freq"
"SPTO",1,0.573079473335228,0.0111,38
"WREN",1,0.521739130434783,1e-04,12
"LAZB",1,0.478260869565217,1e-04,11
"MGWA",1,0.424178154825026,0.0054,15
"ACWO",1,0.35836986139083,0.0283,15
"WEWP",1,0.268994290733421,0.0207,8
"LEGO",1,0.260869565217391,0.0086,6
"XXHU",1,0.226187484292536,0.0394,7
"BUSH",1,0.217391304347826,0.0216,5
"BEWR",1,0.173913043478261,0.0436,4
"OCWA",1,0.173913043478261,0.0498,4
"CAVI",2,0.52138147566719,0.0068,27
"HEWA",2,0.427298578199052,0.0079,18
"RBNU",2,0.427298578199052,0.0082,18
"CBCH",2,0.377435897435897,0.0104,15
"BRCR",2,0.352340425531915,0.0358,16
"PAWR",2,0.24,0.0231,6
