"","site_id","V1","fire","sev","fire_yr","tsf","tsf_cat","tree_cov","shrub_cov","herb_cov","bare_cov","slope","aspect","mo","day","yr","dist_to_edge","notes","elev","lon","lat","lat_rad","slope_rad","aspect_rad","folded_aspect","fold_asp_rad","heat_load","tsf_index","taxon","number"
"1","1",0,"merrill","l",2008,10,"2",70,30,2,70,10,220,6,24,2018,50,"",416,-123.336812,41.67005503,0.72727966,0.174532925,3.839724354,175,3.054326191,0.994147054,"9.941470539","Aculeata",6
"2","2",0,"somes","h",2006,12,"2",10,80,50,40,40,75,6,23,2018,70,"",514,-123.418551,41.358195,0.721836675,0.698131701,1.308996939,30,0.523598776,0.452027778,"5.424333333","Aculeata",6
"3","3",0,"somes","l",2006,12,"2",65,75,1,45,13,165,6,23,2018,200,"",408,-123.410655,41.34927398,0.721680974,0.226892803,2.879793266,120,2.094395102,0.955101404,"11.46121685","Aculeata",13
"4","4",0,"butler","h",2013,5,"1",5,75,25,1,40,110,6,13,2018,60,"",422,-123.369397,41.295392,0.720740556,0.698131701,1.919862177,65,1.134464014,0.589957513,"2.949787565","Aculeata",12
"5","5",0,"butler","h",2013,5,"1",15,70,30,1,40,90,6,13,2018,90,"",427,-123.371652,41.288935,0.72062786,0.698131701,1.570796327,45,0.785398163,0.501872947,"2.509364733","Aculeata",7
"6","6",0,"butler","l",2013,5,"1",60,30,35,35,10,95,6,11,2018,60,"rename 6 in swillup hs to 12",381,-123.371253,41.29147204,0.72067214,0.174532925,1.658062789,50,0.872664626,0.860617875,"4.303089374","Aculeata",2
"7","7",0,"jake","h",2008,10,"2",20,75,40,20,37,38,6,16,2018,100,"",447,-123.350073,41.28241003,0.720513978,0.645771823,0.663225116,7,0.122173048,0.458183144,"4.581831438","Aculeata",34
"8","8",0,"jake","l",2008,10,"2",75,20,20,60,30,250,6,16,2018,50,"",437,-123.347451,41.27985002,0.720469298,0.523598776,4.36332313,155,2.705260341,1.018624267,"10.18624267","Aculeata",3
"9","9",0,"jake","h",2008,10,"2",20,70,6,35,50,240,6,18,2018,60,"",445,-123.348808,41.28120303,0.720492912,0.872664626,4.188790205,165,2.879793266,0.986891633,"9.868916334","Aculeata",7
"10","10",0,"jake","l",2008,10,"2",80,20,2,75,20,240,6,18,2018,100,"",405,-123.343458,41.277602,0.720430062,0.34906585,4.188790205,165,2.879793266,1.024621711,"10.24621711","Aculeata",1
"11","12",0,"swillup","h",2001,17,"3",45,35,1,30,42,140,7,9,2018,80,"",375,-123.5254,41.58386199,0.725775307,0.733038286,2.443460953,95,1.658062789,0.729199397,"12.39638975","Aculeata",12
"12","13",0,"mill","l",2008,10,"2",90,20,5,90,10,120,7,6,2018,60,"",510,-123.53748,41.55467201,0.725265846,0.174532925,2.094395102,75,1.308996939,0.89021979,"8.9021979","Aculeata",2
"13","14",0,"mill","h",2008,10,"2",35,70,5,20,10,100,7,6,2018,70,"",533,-123.539104,41.55344004,0.725244344,0.174532925,1.745329252,55,0.959931089,0.86388699,"8.6388699","Aculeata",3
"14","15",0,"swillup","l",2001,17,"3",65,45,3,38,30,165,7,9,2018,75,"",345,-123.522799,41.58507099,0.725796408,0.523598776,2.879793266,120,2.094395102,0.917845974,"15.60338156","Aculeata",2
"15","16",0,"swillup","h",2001,17,"3",15,75,1,5,45,150,7,7,2018,60,"",464,-123.526083,41.585014,0.725795414,0.785398163,2.617993878,105,1.832595715,0.762571621,"12.96371755","Aculeata",2
"16","17",0,"swillup","l",2001,17,"3",85,5,1,95,35,224,7,7,2018,60,"",403,-123.528202,41.583044,0.725761031,0.610865238,3.909537524,179,3.124139361,1.035886156,"17.61006465","Aculeata",11
"17","18",0,"panther","h",2008,10,"2",5,90,20,10,43,45,7,4,2018,500,"",1047,-123.293437,41.65442303,0.72700683,0.750491578,0.785398163,0,0,0.362960048,"3.629600477","Aculeata",47
