"","species","mean_cov","sd_cov"
"1","ABCO",62.85,21.1467927143873
"2","ABPR",30,NA
"3","ACAM",40.8333333333333,9.70395108533976
"4","ACBR",35,NA
"5","ACCI",30,NA
"6","ACGL",30,NA
"7","ACMA",57.34,26.7662672262026
"8","ACMI",37.3684210526316,18.3612228057931
"9","ACMO",30,7.07106781186548
"10","ACTR",56.6666666666667,27.0361310278002
"11","ADBI",72.7083333333333,17.6917548142008
"12","AGEX",75,NA
"13","Agoseris",39.6153846153846,18.4349167029893
"14","ALAC",32.5,3.53553390593274
"15","ALRH",49.5,20.7243817760627
"16","ALXX",90,NA
"17","AMAL",47.2727272727273,20.9001957363605
"18","ANMAD",65.5405405405405,22.5703770886071
"19","ANRA",40,7.07106781186548
"20","APAN",47.4418604651163,25.0088577884882
"21","ARCAL",65,NA
"22","Arctostaphylos",40.7142857142857,22.2084282585303
"23","ARDI",50.7407407407407,25.9697939812814
"24","ARME",53.1720430107527,27.0645860601419
"25","ARXX",25,NA
"26","ASHA",55.7142857142857,21.6849739505976
"27","ASPR",40,22.8963408483195
"28","BOPR",32.5,10.6066017177982
"29","BREL",30.8333333333333,12.4163870214594
"30","BRVU",16.6666666666667,12.5830573921179
"31","CAAP",17.5,17.6776695296637
"32","CACA",95,NA
"33","CADE",54.8928571428571,22.7536554421226
"34","CAMU",54.1071428571429,20.0024800049695
"35","CAOC",40.5555555555556,21.4125367956752
"36","CAPR",45,20.3100960115899
"37","CAREX",41.6666666666667,30.9300285590988
"38","CAXX",26.6666666666667,7.63762615825973
"39","CEIN",44.375,23.3760534183536
"40","CEOC",54,40.5277682583189
"41","CESA",60,12.2474487139159
"42","CHAN",29.6428571428571,21.2552514519522
"43","CHCH",51.8,24.4224720873449
"44","CHLA",20,14.142135623731
"45","CHME",68.8571428571429,18.6407132502002
"46","CHPO",40.7142857142857,19.4569121026803
"47","CHUM",68.875,19.1898410623955
"48","Cirsium",27.5,6.45497224367903
"49","Clarkia",34.6153846153846,24.1058031102418
"50","CLPE",39.0909090909091,19.3414298615927
"51","CLVI",5,NA
"52","COCO",56.0833333333333,26.0104997893309
"53","COHE",48.625,24.3106893235181
"54","Collinsia",45.8333333333333,17.1512876095839
"55","CONU",56.8235294117647,25.4003943995093
"56","COSP",32.5,3.53553390593274
"57","COST",70,NA
"58","CRRI",45,16.3299316185545
"59","CYGR",50,25.7390753524675
"60","DAPU",28.5714285714286,17.7281052085584
"61","DIID",45,21.2132034355964
"62","DIKE",35,NA
"63","DIMU",20,14.142135623731
"64","DOXX",50,35.3553390593274
"65","DRAR",80,NA
"66","ELEL",35,NA
"67","ELGL",44.3589743589744,23.0039895618669
"68","ELMU",35,0
"69","ELTR",15,NA
"70","ERCA",20,21.2132034355964
"71","ERCAP",35,NA
"72","ERLA",37.1875,20.1633950514292
"73","ERNU",40,13.228756555323
"74","ERXX",35,NA
"75","EURA",40,32.78719262151
"76","FECA",50.25,25.493840382255
"77","FEID",61,19.811612756159
"78","FEMI",36.7307692307692,19.6947865026411
"79","FEOC",55.7843137254902,26.8583794935511
"80","FRVE",31.25,18.2737125792372
"81","FRXX",35,NA
"82","GABO",48.7179487179487,23.5840587529047
"83","GAFR",35,20.9165006633519
"84","GATR",59.8076923076923,24.9992307573961
"85","GICA",37.5,17.6776695296637
"86","GOOB",86,8.18535277187245
"87","HAAL",30,NA
"88","HEAR",30,NA
"89","HEXX",35,32.78719262151
"90","HIAL",55.8545454545455,23.8198626903234
"91","HOCR",39.4444444444444,17.0375402502174
"92","HODI",49.4444444444444,24.804793443562
"93","HOXX",20,NA
"94","Iris",56.241935483871,24.6561171765807
"95","KECO",41.6666666666667,17.5594229214212
"96","KOST",63.3333333333333,22.5462487641145
"97","LIBO",55,14.142135623731
"98","LICA",43.75,34.0036762718386
