,species,cov_UNLS,cov_HS,ratio.x,sum_UNLS,sum_HS,ratio.y,best model (pa),other,pref,indvalue,indhabitat
1,ACMI,0.5,3,6,1,5,5,?,,,,
2,ACTR,7,1,0.142857143,7,1,0.142857143,?,,,,
3,ADBI,8.5,0,0,7,0,0,?,,,28,l
4,ANMAD,17,2.5,0.147058824,13,4,0.307692308,sev,add,,48,l
5,APAN,2.5,6.5,2.6,4,8,2,null,,,,
6,BRSE,0,7.5,Inf,0,5,Inf,?,,,,
7,CAOC,0.5,7.5,15,1,4,4,?,,,,
8,CASC,1,8,8,2,9,4.5,sev,add/mult,hs,35,h
9,CEIN,85.5,818,9.567251462,13,21,1.615384615,sev,add/mult,hs/ls,87,h
10,CHUM,4.5,0,0,7,0,0,?,,,,
11,DAPU,0,6.5,Inf,0,5,Inf,?,,,,
12,ELGL,4,10,2.5,5,13,2.6,add,sev/tsf,,41,h
13,FEMI,0,6.5,Inf,0,6,Inf,sev,,,30,h
14,GAFR,2,52.5,26.25,2,4,2,?,,,,
15,IRTE,7.5,3.5,0.466666667,14,6,0.428571429,mult,null,,,
16,MAGR,1,24,24,1,12,12,add,,,50,h
17,MARA,2.5,1,0.4,5,1,0.2,?,,,,
18,MECA,16.5,126,7.636363636,6,12,2,sev,add/tsf,,50,h
19,PILA,35.5,0.5,0.014084507,8,3,0.375,null,,,,
20,PIPO,11,23.5,2.136363636,4,8,2,null,,,,
21,POIM,12.5,4,0.32,14,6,0.428571429,null,,,40,l
22,PYAP,3.5,0.5,0.142857143,7,1,0.142857143,?,,,,
23,PYPI,3.5,0.5,0.142857143,6,1,0.166666667,?,,,,
24,QUGA,5,45.5,9.1,3,6,2,?,,,,
25,RIRO,8,29.5,3.6875,6,14,2.333333333,sev,add,hs,53,h
26,RULE,9.5,48.5,5.105263158,7,12,1.714285714,tsf,add,,44,h
27,RUUR,1.5,6,4,2,7,3.5,add,tsf/mult,,,
28,SASC,2,57,28.5,3,6,2,?,,,,
29,SI,0,2.5,Inf,0,5,Inf,?,,,,
30,SOPA,1,7,7,1,8,8,?,,,31,h
31,VIAM,2.5,12.5,5,3,6,2,?,,,,
32,VILO,3,0,0,5,0,0,?,,,,
,TODI,151,230.5,1.52649007,21,21,1,null,,,61,h
,PSME,1290,122.5,0.09496124,24,18,0.75,add,sev,,91,l
,GATR,3.5,4,1.142857143,7,3,0.428571429,sev,add,,,
,MANE,70.5,15.5,0.21985816,5,4,0.8,tsf,null/add,,,
,WHMO,23,85.5,3.717391304,7,4,0.571428571,tsf,add,,,
,TRLA,13,37.5,2.884615385,10,14,1.4,tsf,null,,,
,NODE,547,270.5,0.49451554,18,14,0.77777778,tsf,sev/null,,,
,LOHI,52,23.5,0.451923077,19,13,0.684210526,tsf,sev/add/null,,,
,FECA,24.5,57,2.326530612,7,7,1,mult,null,,,
