site_id,full_name,species,cover
1,Anisocarpus madioides,ANMAD,0.5
1,Apocynum angustifolium,APAN,0.5
1,Arbutus menziesii,ARME,15
1,Corylus cornuta,COCO,0
1,Cynoglossum grande,CYGR,0.5
1,Gallium triflorum,GATR,0.5
1,Lonicera hispidula,LOHI,0.5
1,Notholithocarpus densifolius,NODE,5
1,Pseudotsuga menziesii,PSME,75
1,Pyrolla aphylla,PYAP,0.5
1,Quercus chrysolepis,QUCH,1
1,Quercus kelloggii,QUKE,15
1,Toxicodendron diversilobum,TODI,3
1,Trientalis latiolia,TRLA,0.5
1,Umbellularia californica,UMCA,30
1,Viola lobata,VILO,0.5
6,Anisocarpus madioides,ANMAD,2
6,Apocynum angustifolium,APAN,1
6,Arbutus menziesii,ARME,1
6,Ceanothus integerrimus,CEIN,1
6,Cercis occidentalis,CEOC,1
6,Corylus cornuta,COCO,1
6,Elymus glaucus,ELGL,1
6,Festuca occidentalis,FEOC,5
6,Gallium bolanderi,GABO,1
6,Garrya fremontii,GAFR,1
6,Gallium triflorum,GATR,0.5
6,Hieracium albiflorum,HIAL,2
6,Lonicera hispidula,LOHI,5
6,Melica californica,MECA,10
6,Notholithocarpus densifolius,NODE,2
6,Osmorrhiza berteroi,OSBE,3
6,Philadelphus lewisii,PHLE,0.5
6,Pinus attenuata,PIAT,0.5
6,Platanthera elegans,PLEL,0.5
6,Polygala cornuta,POCO,1
6,Pseudotsuga menziesii,PSME,60
6,Pteridium aquilinum,PTAQ,3
6,Pyrolla aphylla,PYAP,0.5
6,Quercus chrysolepis,QUCH,1
6,Quercus kelloggii,QUKE,0
6,Ribes roezlii,RIRO,5
6,Rubus leucodermis,RULE,5
6,Rubus parviflorus,RUPA,2
6,Sanicula crassicaulis,SACR,1
6,Solanum parishii,SOPA,1
6,Toxicodendron diversilobum,TODI,15
6,Trientalis latiolia,TRLA,5
6,Vancouveria hexandra,VAHE,1
6,Vicia americana,VIAM,1
6,Vitis californica,VICA,1
6,Viola lobata,VILO,1
25,Acer macrophyllum,ACMA,15
25,Achlys triphylla,ACTR,1
25,Anisocarpus madioides,ANMAD,0.5
25,Aralia californica,ARCAL,1
25,Arbutus menziesii,ARME,2
25,Calocedrus decurrens,CADE,5
25,Carex multicaulis,CAMU,0.5
25,Ceanothus integerrimus,CEIN,0.5
25,Corylus cornuta,COCO,5
25,Collomia heterophylla,COHE,0.5
25,Cornus nuttallii,CONU,3
25,Festuca occidentalis,FEOC,0.5
25,Gallium triflorum,GATR,0.5
25,Hieracium albiflorum,HIAL,0.5
25,Iris tenuissima,IRTE,0.5
25,Linnaea borealis,LIBO,1
25,Mahonia aquifolium,MAAQ,0.5
25,Mahonia nervosa,MANE,20
25,Maianthemum racemosum,MARA,0.5
25,Notholithocarpus densifolius,NODE,35
25,Philadelphus lewisii,PHLE,1
25,Polystichum imbricans,POIM,0.5
25,Pseudotsuga menziesii,PSME,40
25,Pteridium aquilinum,PTAQ,1
25,Quercus chrysolepis,QUCH,1
25,Rosa gymnocarpa,ROGY,0.5
25,Rubus ursinus,RUUR,1
25,Salix scouleriana,SASC,1
25,Toxicodendron diversilobum,TODI,0.5
25,Trientalis latiolia,TRLA,1
25,Vicia americana,VIAM,1
25,Whipplea modesta,WHMO,5
25,Woodwardia fimbriata,WOFI,1
28,Arbutus menziesii,ARME,25
28,Asarum hartweggii,ASHA,0.5
28,Ceanothus integerrimus,CEIN,5
28,Collomia heterophylla,COHE,0.5
28,Cornus nuttallii,CONU,0
28,Daucus pusillus,DAPU,0.5
28,Eriophyllum lanatum,ERLA,0.5
28,Gallium bolanderi,GABO,0.5
28,Heteromeles arbutifolia,HEAR,1
28,Iris tenuissima,IRTE,0.5
28,Lonicera hispidula,LOHI,1
28,Melica californica,MECA,20
28,Notholithocarpus densifolius,NODE,0
28,Pinus ponderosa,PIPO,0
28,Polygala cornuta,POCO,0.5
28,Pseudotsuga menziesii,PSME,0
28,Pteridium aquilinum,PTAQ,5
28,Quercus chrysolepis,QUCH,20
28,Quercus kelloggii,QUKE,5
28,Ribes roezlii,RIRO,1
28,Solanum parishii,SOPA,0.5
28,Toxicodendron diversilobum,TODI,30
34,Acer macrophyllum,ACMA,1
34,Apocynum angustifolium,APAN,1
34,Arbutus menziesii,ARME,5
34,Carex sp.,CAREX,0.5
34,Ceanothus integerrimus,CEIN,45
34,Corylus cornuta,COCO,2
34,Dichelostemma ida-maia,DIID,0.5
34,Elymus glaucus,ELGL,1
34,Festuca microstachys,FEMI,2
34,Gallium bolanderi,GABO,0.5
34,Hieracium albiflorum,HIAL,0.5
34,Ligusticum californicum,LICA,0.5
34,Lonicera hispidula,LOHI,4
34,Madia gracilis,MAGR,6
34,Melica californica,MECA,1
34,Polygala cornuta,POCO,0.5
34,Polystichum imbricans,POIM,0.5
34,Pseudotsuga menziesii,PSME,15
34,Quercus chrysolepis,QUCH,3
34,Quercus garryana,QUGA,0.5
34,Quercus kelloggii,QUKE,18
34,Rubus leucodermis,RULE,3
34,Sanicula crassicaulis,SACR,0.5
34,Symphoricarpos albus,SYAL,1
34,Toxicodendron diversilobum,TODI,15
34,Trientalis latiolia,TRLA,1
40,Apocynum angustifolium,APAN,1
40,Arbutus menziesii,ARME,5
40,Arnica sp.,ARXX,1
40,Calocedrus decurrens,CADE,0.5
40,Carex sp.,CAREX,0.5
40,Campanula scouleri,CASC,0.5
40,Ceanothus integerrimus,CEIN,70
40,Collomia heterophylla,COHE,0.5
40,Elymus glaucus,ELGL,0.5
40,Festuca occidentalis,FEOC,0.5
40,Fragria vesca,FRVE,1
40,Iris tenuissima,IRTE,0.5
40,Lonicera hispidula,LOHI,1
40,Mahonia aquifolium,MAAQ,1
40,Notholithocarpus densifolius,NODE,40
40,Prosartes hookeri,PRHO,0.5
40,Pseudotsuga menziesii,PSME,7
40,Quercus chrysolepis,QUCH,0.5
40,Quercus garryana,QUGA,1
40,Quercus kelloggii,QUKE,25
40,Rubus parviflorus,RUPA,0.5
40,Rubus ursinus,RUUR,0.5
40,Symphoricarpos mollis,SYMO,5
40,Toxicodendron diversilobum,TODI,4
40,Vicia americana,VIAM,2
40,Whipplea modesta,WHMO,10
41,Abies concolor,ABCO,1
41,Acer macrophyllum,ACMA,10
41,Achlys triphylla,ACTR,0.5
41,Adenocaulon bicolor,ADBI,0.5
41,Arbutus menziesii,ARME,15
41,Corylus cornuta,COCO,1
41,Cornus nuttallii,CONU,0.5
41,Goodyera oblongifolia,GOOB,1
41,Iris tenuissima,IRTE,0.5
41,Lonicera hispidula,LOHI,0.5
41,Mahonia aquifolium,MAAQ,0.5
41,Maianthemum racemosum,MARA,0.5
41,Notholithocarpus densifolius,NODE,2
41,Prosartes hookeri,PRHO,0.5
41,Pseudotsuga menziesii,PSME,85
41,Pyrolla aphylla,PYAP,0.5
41,Quercus chrysolepis,QUCH,8
41,Quercus kelloggii,QUKE,0.5
41,Ribes sanguineum,RISA,0.5
41,Rosa gymnocarpa,ROGY,1
41,Symphoricarpos mollis,SYMO,1
41,Toxicodendron diversilobum,TODI,1
47,Amelanchier alnifolia,AMAL,1
47,Anisocarpus madioides,ANMAD,0.5
47,Apocynum angustifolium,APAN,0.5
47,Arctostaphylos canescens,ARCA,1
47,Arbutus menziesii,ARME,20
47,Calocedrus decurrens,CADE,0.5
47,Ceanothus integerrimus,CEIN,40
47,Elymus glaucus,ELGL,0.5
47,Hossackia crassicaulis,HOCR,1
47,Holodiscus discolor,HODI,1
47,Notholithocarpus densifolius,NODE,3
47,Pinus lambertiana,PILA,0.5
47,Pinus ponderosa,PIPO,0.5
47,Potentilla glandulosa,POGL,1
47,Pseudotsuga menziesii,PSME,10
47,Pteridium aquilinum,PTAQ,0.5
47,Quercus chrysolepis,QUCH,3
47,Quercus kelloggii,QUKE,10
47,Rhamnus purshiana,RHPU,0.5
47,Ribes roezlii,RIRO,0.5
47,Rosa gymnocarpa,ROGY,0.5
47,Rubus leucodermis,RULE,2
47,Rubus parviflorus,RUPA,1
47,Rubus ursinus,RUUR,1
47,Satureja douglasii,SADO,1
47,Salix scouleriana,SASC,40
47,Sidalcea sp.,SI,0.5
47,Toxicodendron diversilobum,TODI,5
47,Trientalis latiolia,TRLA,2
47,Vicia americana,VIAM,0.5
47,Whipplea modesta,WHMO,65
49,Acer macrophyllum,ACMA,0
49,Achlys triphylla,ACTR,1
49,Arnica discoidea,ARDI,0.5
49,Arbutus menziesii,ARME,15
49,Chrysolepis chrysophylla,CHCH,1
49,Corylus cornuta,COCO,0.5
49,Festuca occidentalis,FEOC,0.5
49,Iris tenuissima,IRTE,0.5
49,Lonicera hispidula,LOHI,0.5
49,Notholithocarpus densifolius,NODE,30
49,Polystichum imbricans,POIM,1
49,Prosartes hookeri,PRHO,0.5
49,Pseudotsuga menziesii,PSME,50
49,Pteridium aquilinum,PTAQ,0.5
49,Pyrola picta,PYPI,0.5
49,Quercus chrysolepis,QUCH,10
49,Quercus kelloggii,QUKE,0
49,Ribes roezlii,RIRO,0.5
49,Rosa gymnocarpa,ROGY,5
49,Rubus leucodermis,RULE,0.5
49,Symphoricarpos mollis,SYMO,1
49,Toxicodendron diversilobum,TODI,15
49,Trientalis latiolia,TRLA,1
51,Acer macrophyllum,ACMA,20
51,Arbutus menziesii,ARME,3
51,Calystegia occidentalis,CAOC,5
51,Campanula scouleri,CASC,0.5
51,Ceanothus integerrimus,CEIN,10
51,Chamerion angustifolium,CHAN,0.5
51,Corylus cornuta,COCO,3
51,Collomia heterophylla,COHE,0.5
51,Gilia capitata,GICA,0.5
51,Hossackia crassicaulis,HOCR,1
51,Madia gracilis,MAGR,3
51,Melica californica,MECA,25
51,Notholithocarpus densifolius,NODE,1
51,Quercus chrysolepis,QUCH,2
51,Quercus kelloggii,QUKE,10
51,Ribes roezlii,RIRO,5
51,Rubus leucodermis,RULE,20
51,Solanum parishii,SOPA,1
51,Toxicodendron diversilobum,TODI,10
