"","species","MULT_occ","Rx_occ"
"1","ABPR",0,5.55555555555556
"2","ACAM",17.8571428571429,5.55555555555556
"3","ACBR",3.57142857142857,0
"4","ACCI",3.57142857142857,0
"5","ACGL",0,5.55555555555556
"6","ACMA",32.1428571428571,55.5555555555556
"7","ACMI",28.5714285714286,27.7777777777778
"8","ACMO",10.7142857142857,0
"9","ACNE",0,5.55555555555556
"10","ACTR",17.8571428571429,0
"11","ACXX",10.7142857142857,0
"12","ADBI",3.57142857142857,55.5555555555556
"13","AGEX",3.57142857142857,0
"14","Agoseris",46.4285714285714,50
"15","ALAC",3.57142857142857,5.55555555555556
"16","ALRH",10.7142857142857,0
"17","AMAL",10.7142857142857,22.2222222222222
"18","ANMAD",28.5714285714286,27.7777777777778
"19","ANRA",0,11.1111111111111
"20","APAN",42.8571428571429,55.5555555555556
"21","ARCAL",0,0
"22","Arctostaphylos",25,22.2222222222222
"23","ARDI",21.4285714285714,27.7777777777778
"24","ARME",78.5714285714286,72.2222222222222
"25","ASHA",10.7142857142857,11.1111111111111
"26","ASPR",32.1428571428571,72.2222222222222
"27","ATDI",0,16.6666666666667
"28","BOXX",7.14285714285714,0
"29","BRCA",35.7142857142857,27.7777777777778
"30","BREL",14.2857142857143,0
"31","BRVU",3.57142857142857,0
"32","CACA",0,0
"33","CADE",25,50
"34","CAMU",46.4285714285714,38.8888888888889
"35","CAOC",35.7142857142857,11.1111111111111
"36","CAREX",3.57142857142857,5.55555555555556
"37","Castilleja",3.57142857142857,22.2222222222222
"38","CAXX",7.14285714285714,0
"39","CEIN",89.2857142857143,72.2222222222222
"40","CEOC",0,0
"41","CESA",0,16.6666666666667
"42","CEVE",0,16.6666666666667
"43","CHAN",17.8571428571429,11.1111111111111
"44","CHCH",3.57142857142857,27.7777777777778
"45","CHLA",3.57142857142857,0
"46","CHME",3.57142857142857,16.6666666666667
"47","CHPO",14.2857142857143,0
"48","CHUM",3.57142857142857,27.7777777777778
"49","Cirsium",10.7142857142857,0
"50","Clarkia",21.4285714285714,11.1111111111111
"51","CLPE",21.4285714285714,11.1111111111111
"52","CLVI",0,0
"53","COCO",42.8571428571429,44.4444444444444
"54","COHE",46.4285714285714,55.5555555555556
"55","Collinsia",10.7142857142857,16.6666666666667
"56","CONU",14.2857142857143,61.1111111111111
"57","COSP",7.14285714285714,0
"58","COST",0,0
"59","COTR",3.57142857142857,0
"60","Cryptantha",21.4285714285714,22.2222222222222
"61","CYGR",7.14285714285714,5.55555555555556
"62","DAPU",7.14285714285714,0
"63","Dichelostemma",14.2857142857143,0
"64","DIKE",3.57142857142857,0
"65","DOXX",10.7142857142857,0
"66","DRAR",0,0
"67","DRGL",3.57142857142857,22.2222222222222
"68","ELEL",3.57142857142857,0
"69","ELGL",32.1428571428571,66.6666666666667
"70","ELMU",7.14285714285714,0
"71","ELTR",0,0
"72","EPMI",0,0
"73","EPXX",21.4285714285714,38.8888888888889
"74","ERCA",3.57142857142857,0
"75","ERCAP",3.57142857142857,0
"76","ERLA",17.8571428571429,33.3333333333333
"77","ERNA",3.57142857142857,0
"78","ERNU",7.14285714285714,5.55555555555556
"79","EURA",3.57142857142857,5.55555555555556
"80","FECA",32.1428571428571,61.1111111111111
"81","FEID",7.14285714285714,11.1111111111111
"82","FEMI",39.2857142857143,22.2222222222222
"83","FEOC",42.8571428571429,72.2222222222222
"84","FRLA",7.14285714285714,0
"85","FRVE",3.57142857142857,22.2222222222222
"86","FRXX",3.57142857142857,0
"87","GABI",7.14285714285714,33.3333333333333
"88","GABO",60.7142857142857,33.3333333333333
"89","GABOR",0,0
"90","GAFR",7.14285714285714,0
"91","GATR",17.8571428571429,33.3333333333333
"92","GICA",7.14285714285714,0
"93","GOOB",0,0
"94","HAAL",3.57142857142857,0
"95","HEAR",0,0
"96","HEXX",3.57142857142857,11.1111111111111
"97","HIAL",57.1428571428571,77.7777777777778
"98","HOCR",14.2857142857143,11.1111111111111
"99","HODI",7.14285714285714,5.55555555555556
"100","HOXX",0,0
"101","Iris",60.7142857142857,77.7777777777778
"102","KECO",7.14285714285714,0
"103","KELE",3.57142857142857,0
"104","KOST",3.57142857142857,0
"105","LANE",17.8571428571429,77.7777777777778
"106","LIBO",3.57142857142857,0
"107","LICA",3.57142857142857,0
"108","LIHE",0,16.6666666666667
"109","LIWA",0,0
"110","LOHI",50,16.6666666666667
"111","LOMA",0,0
"112","LOTR",0,0
"113","Lupinus",10.7142857142857,27.7777777777778
"114","LUZX",3.57142857142857,5.55555555555556
"115","LYLA",50,66.6666666666667
"116","MAAQ",10.7142857142857,5.55555555555556
"117","Madia",67.8571428571429,61.1111111111111
"118","MANE",10.7142857142857,0
"119","MAOR",0,0
"120","MARA",21.4285714285714,11.1111111111111
"121","MECA",57.1428571428571,50
"122","MICA",3.57142857142857,0
"123","MOHY",0,0
"124","MOMA",17.8571428571429,27.7777777777778
"125","MOOD",14.2857142857143,0
"126","Nemophila",10.7142857142857,44.4444444444444
"127","NODE",25,5.55555555555556
"128","OECE",0,0
"129","OSBE",39.2857142857143,61.1111111111111
"130","OZTR",0,16.6666666666667
"131","PAMY",0,22.2222222222222
"132","Penstemon",3.57142857142857,22.2222222222222
"133","PERX",0,0
"134","PETR",0,0
"135","PHBO",3.57142857142857,0
"136","PHHA",17.8571428571429,16.6666666666667
"137","PHLE",0,5.55555555555556
"138","PIAT",7.14285714285714,0
"139","PILA",35.7142857142857,72.2222222222222
"140","Piperia",10.7142857142857,0
"141","PIPO",57.1428571428571,55.5555555555556
"142","POA",0,16.6666666666667
"143","POCO",10.7142857142857,0
"144","POIM",42.8571428571429,38.8888888888889
"145","POSE",0,0
"146","PREM",7.14285714285714,0
"147","PRHO",28.5714285714286,11.1111111111111
"148","PSME",96.4285714285714,94.4444444444444
"149","PSTH",21.4285714285714,22.2222222222222
"150","PTAQ",39.2857142857143,55.5555555555556
"151","Pyrola",3.57142857142857,5.55555555555556
"152","QUCH",89.2857142857143,55.5555555555556
"153","QUGA",28.5714285714286,0
"154","QUKE",50,61.1111111111111
"155","QUSA",0,5.55555555555556
"156","QUVA",0,11.1111111111111
"157","RAXX",3.57142857142857,0
"158","RHPU",0,5.55555555555556
"159","Ribes",46.4285714285714,50
"160","ROGY",17.8571428571429,66.6666666666667
"161","RULE",21.4285714285714,27.7777777777778
"162","RUPA",32.1428571428571,55.5555555555556
"163","RUUR",17.8571428571429,5.55555555555556
"164","SABI",14.2857142857143,0
"165","SACR",21.4285714285714,0
"166","SADO",0,5.55555555555556
"167","SALU",0,0
"168","SANIG",7.14285714285714,11.1111111111111
"169","SASC",21.4285714285714,50
"170","Sidalcea",21.4285714285714,11.1111111111111
"171","Silene",10.7142857142857,0
"172","SOPA",17.8571428571429,0
"173","SOXX",3.57142857142857,0
"174","STLE",17.8571428571429,0
"175","STME",0,0
"176","STRI",7.14285714285714,0
"177","STXX",7.14285714285714,0
"178","SYAL",3.57142857142857,0
"179","SYMO",42.8571428571429,66.6666666666667
"180","TABR",3.57142857142857,0
"181","TODI",64.2857142857143,33.3333333333333
"182","TRCA",14.2857142857143,50
"183","TRER",3.57142857142857,0
"184","TRGR",3.57142857142857,0
"185","Triteleia",3.57142857142857,16.6666666666667
"186","TRMI",3.57142857142857,0
"187","TRXX",0,0
"188","UMCA",7.14285714285714,0
"189","VAHE",3.57142857142857,0
