,species,UNLS_occ,MANAG_occ,MULT_occ,Rx_occ,HS_occ,total_occ,,,
24,CESA,3,6,0,17,0,7,0,,
52,GOOB,19,0,0,0,0,7,0,,
104,SYAL,3,6,8,0,0,7,0,,"20/27 species that favor UNLS over HS (2-fold difference) also favor either Rx (5), mult (3), or both (12)"
21,CAPR,3,7,0,22,0,9,0,,16 species never found in HS
74,PAMY,3,7,0,22,0,9,0,,
27,CHME,11,6,0,17,0,10,0,,
109,UMCA,8,7,11,0,0,11,0,,
15,ASHA,6,9,8,11,0,12,0,,
37,CRRI,3,17,14,22,0,19,0,,
32,CLPE,3,19,19,11,0,20,0,,
29,CHUM,28,11,3,28,0,22,0,,
68,MOMA,6,22,19,28,0,26,0,,
70,Nemophila,11,22,11,39,0,27,0,,
107,TRCA,6,24,11,50,0,28,0,,
112,VILO,25,20,17,28,0,31,0,,
6,ADBI,33,22,6,56,0,36,0,,
5,ACTR,22,11,17,0,5,21,0.225,,
79,PILA,44,46,33,72,10,68,0.225,,
87,Pyrola,33,4,3,6,10,18,0.3,,
51,GATR,31,22,19,28,10,37,0.327272727,,
66,MARA,14,2,3,0,5,8,0.36,,
110,VAHE,14,6,8,0,5,12,0.36,,
10,ANMAD,50,26,25,28,20,50,0.4,,
83,POIM,58,41,42,39,25,70,0.428571429,,
56,Iris,58,65,58,78,25,96,0.428571429,,
82,POCO,22,9,14,0,10,20,0.45,,
72,OSBE,33,43,33,61,15,61,0.45,,
53,HIAL,47,61,50,78,25,87,0.529411765,,
36,CONU,36,31,17,61,20,51,0.553846154,,
33,COCO,50,44,44,44,30,72,0.6,,
47,FEOC,50,48,36,72,30,76,0.6,,
80,Piperia,8,6,8,0,5,10,0.6,,
2,ACMA,58,43,36,56,35,74,0.6,,
84,PRHO,33,22,25,11,20,39,0.6,,
13,ARDI,22,28,25,28,15,40,0.675,,
77,PHLE,14,4,3,6,10,11,0.72,,
105,SYMO,33,48,39,67,25,69,0.75,,
85,PSME,97,96,94,94,75,153,0.771428571,,
86,PTAQ,42,44,39,56,35,70,0.84,,
60,LOHI,64,37,47,17,55,74,0.860869565,,
26,CHCH,17,11,3,28,15,21,0.9,,
19,CAMU,17,35,33,39,15,47,0.9,,
8,ALRH,6,6,8,0,5,9,0.9,,
63,MAAQ,6,6,6,6,5,9,0.9,,
49,GABO,22,46,53,33,20,62,0.9,,
113,WHMO,19,7,11,0,20,19,1.028571429,,
71,NODE,56,24,33,6,60,58,1.08,,
62,LYLA,56,61,58,61,60,97,1.08,,
88,QUCH,78,76,86,56,85,127,1.092857143,,
92,ROGY,36,41,28,67,40,65,1.107692308,,
106,TODI,81,57,69,33,90,109,1.117241379,,
14,ARME,81,81,83,72,90,134,1.117241379,,
11,APAN,28,46,42,56,35,67,1.26,,
90,QUKE,56,56,50,61,70,93,1.26,,
44,FECA,25,44,33,61,35,63,1.4,,
65,MANE,14,11,17,0,20,21,1.44,,
18,CADE,17,31,22,50,25,45,1.5,,
94,RUPA,17,43,36,56,25,57,1.5,,
67,MECA,33,56,58,50,50,82,1.5,,
81,PIPO,22,54,50,56,35,72,1.575,,
58,LICA,3,4,6,0,5,6,1.8,,
34,COHE,19,50,47,56,35,68,1.8,,
111,VIAM,14,26,17,39,30,38,2.16,,
91,Ribes,28,50,50,50,60,76,2.16,,"38/42 species that favor UNLS over HS (2-fold difference) also favor either Rx (2), mult (16), or both (20)"
23,CEIN,42,87,92,72,90,126,2.16,,
93,RULE,19,26,25,28,50,45,2.571428571,,
50,GAFR,6,6,8,0,15,11,2.7,,16 species never found in UNLS
55,HODI,6,7,8,6,15,13,2.7,,
97,SACR,6,13,19,0,15,19,2.7,,
99,SASC,11,31,22,50,30,44,2.7,,
89,QUGA,8,19,28,0,25,28,3,,
22,CAREX,3,6,6,6,10,9,3.6,,
78,PIAT,3,6,8,0,10,9,3.6,,
28,CHPO,3,7,11,0,10,11,3.6,,
61,Lupinus,3,9,3,22,10,13,3.6,,
9,AMAL,3,15,11,22,10,19,3.6,,
7,Agoseris,6,37,36,39,20,46,3.6,,
12,Arctostaphylos,8,20,19,22,30,31,3.6,,
95,RUUR,8,20,28,6,30,31,3.6,,
41,ELGL,14,43,31,67,55,62,3.96,,
16,ASPR,8,43,28,72,45,58,5.4,,
31,Clarkia,3,15,17,11,20,21,7.2,,
25,CHAN,3,19,22,11,20,25,7.2,,
20,CAOC,3,26,33,11,20,33,7.2,,
3,ACMI,3,24,22,28,25,32,9,,
46,FEMI,3,35,42,22,25,44,9,,
64,Madia,6,61,61,61,55,79,9.9,,
102,SOPA,3,15,22,0,30,23,10.8,,
38,CYGR,0,4,3,6,10,6,,,
4,ACMO,0,6,8,0,5,7,,,
30,Cirsium,0,6,8,0,5,7,,,
40,DIMU,0,6,8,0,10,8,,,
69,MOOD,0,7,11,0,5,9,,,
96,SABI,0,7,11,0,5,9,,,
101,SILX,0,4,6,0,25,9,,,
17,BREL,0,7,11,0,10,10,,,
39,DAPU,0,6,8,0,20,10,,,
103,STLE,0,9,14,0,5,11,,,
98,SANIG,0,9,8,11,10,12,,,
48,FRVE,0,9,3,22,15,13,,,
54,HOCR,0,13,14,11,15,17,,,
100,Sidalcea,0,15,17,11,5,17,,,
76,PHHA,0,17,17,17,5,19,,,
42,ERLA,0,24,19,33,15,29,,,
1,ACAM,0,11,14,6,0,12,,,8 species only found in mult OR Rx
35,Collinsia,0,11,8,17,0,12,,,
45,FEID,0,9,8,11,0,10,,,
75,Penstemon,0,9,3,22,0,10,,,
43,ERNU,0,6,6,6,0,6,,,
57,KECO,0,6,8,0,0,6,,,
59,LIHE,0,6,0,17,0,6,,,
73,OZTR,0,6,0,17,0,6,,,
108,TRCR,0,6,0,17,0,6,,,
114,YAMI,0,6,8,0,0,6,,,
