,species,occ1,occ2,occ3,total_occ
1,ACAM,8,10,0,6
2,ACMA,36,47,56,51
3,ACMI,31,20,2,19
4,ACTR,10,13,17,15
5,ADBI,3,23,39,24
6,Agoseris,33,40,2,26
7,ALRH,5,10,2,6
8,AMAL,10,20,2,11
9,ANMAD,13,33,49,35
10,APAN,51,37,27,42
11,Arctostaphylos,26,20,7,19
12,ARDI,26,20,24,26
13,ARME,85,80,83,91
14,ASHA,5,10,5,7
15,ASPR,49,37,12,35
16,BREL,13,3,0,6
17,CADE,23,33,22,28
18,CAMU,18,40,20,27
19,CAOC,23,30,2,19
20,CAREX,8,7,2,6
21,CEIN,97,83,39,79
22,CHAN,28,10,2,15
23,CHCH,15,13,12,15
24,CHME,0,13,7,7
25,CHPO,10,7,2,7
26,CHUM,3,23,17,15
27,Clarkia,23,10,2,13
28,CLPE,13,17,2,11
29,COCO,41,43,46,48
30,COHE,44,43,24,40
31,Collinsia,8,7,2,6
32,CONU,23,37,34,34
33,CRRI,13,13,2,10
34,DAPU,15,3,0,7
35,ELGL,44,43,20,38
36,ERLA,28,10,5,16
37,FECA,41,33,32,39
38,FEMI,38,23,5,24
39,FEOC,41,43,51,50
40,FRVE,13,10,0,8
41,GABO,41,40,24,38
42,GAFR,13,10,0,8
43,GATR,10,30,27,24
44,GOOB,0,0,17,7
45,HIAL,44,57,51,55
46,HOCR,15,7,2,9
47,HODI,10,7,7,9
48,Iris,51,67,54,62
49,LOHI,51,43,54,55
50,Lupinus,13,0,7,8
51,LYLA,64,60,49,63
52,MAAQ,3,10,5,6
53,Madia,64,53,12,46
54,MANE,13,13,15,15
55,MARA,3,10,7,7
56,MECA,62,50,32,52
57,MOMA,23,10,5,14
58,Nemophila,15,10,17,16
59,NODE,38,40,44,45
60,OSBE,23,37,44,38
61,PHHA,18,10,0,10
62,PHLE,10,7,7,9
63,PIAT,13,3,0,6
64,PILA,28,43,46,43
65,Piperia,3,10,7,7
66,PIPO,46,37,37,44
67,POCO,18,3,17,15
68,POIM,44,30,56,49
69,PRHO,18,20,37,28
70,PSME,85,97,98,102
71,PTAQ,33,57,37,45
72,Pyrola,0,13,32,17
73,QUCH,85,77,73,86
74,QUGA,26,10,12,18
75,QUKE,51,53,71,65
76,Ribes,59,47,27,48
77,ROGY,38,33,44,43
78,RULE,38,27,17,30
79,RUPA,38,37,20,34
80,RUUR,26,13,15,20
81,SACR,15,10,7,12
82,SANIG,15,3,0,7
83,SASC,33,27,15,27
84,Sidalcea,0,20,5,8
85,SILX,15,3,0,7
86,SOPA,31,10,0,15
87,STLE,13,3,0,6
88,SYMO,31,53,37,43
89,TODI,72,60,78,78
90,TRCA,13,17,12,15
91,UMCA,8,3,10,8
92,VAHE,10,7,5,8
93,VIAM,28,27,15,25
94,VILO,8,23,24,20
95,WHMO,15,10,17,16
