"","species","occ1","occ2","occ3","total_occ"
"1","ACMI",25.9259259259259,26.1904761904762,2.4390243902439,19
"2","ACTR",11.1111111111111,11.9047619047619,17.0731707317073,15
"3","ADBI",0,19.047619047619,39.0243902439024,24
"4","Agoseris",25.9259259259259,42.8571428571429,2.4390243902439,26
"5","AMAL",7.40740740740741,19.047619047619,2.4390243902439,11
"6","ANMAD",14.8148148148148,28.5714285714286,48.780487804878,36
"7","APAN",51.8518518518518,40.4761904761905,26.8292682926829,42
"8","Arctostaphylos",22.2222222222222,23.8095238095238,7.31707317073171,19
"9","ARDI",25.9259259259259,21.4285714285714,24.390243902439,26
"10","ASHA",3.7037037037037,9.52380952380952,4.8780487804878,7
"11","ASPR",48.1481481481481,40.4761904761905,12.1951219512195,35
"12","BREL",11.1111111111111,7.14285714285714,0,6
"13","CAMU",7.40740740740741,42.8571428571429,19.5121951219512,28
"14","CAOC",25.9259259259259,26.1904761904762,2.4390243902439,19
"15","CAREX",11.1111111111111,4.76190476190476,2.4390243902439,6
"16","CEIN",96.2962962962963,88.0952380952381,39.0243902439024,79
"17","CHAN",37.037037037037,9.52380952380952,2.4390243902439,15
"18","CHME",0,9.52380952380952,7.31707317073171,7
"19","CHPO",7.40740740740741,9.52380952380952,2.4390243902439,7
"20","CHUM",3.7037037037037,16.6666666666667,19.5121951219512,16
"21","Clarkia",18.5185185185185,16.6666666666667,2.4390243902439,13
"22","CLPE",14.8148148148148,14.2857142857143,2.4390243902439,11
"23","COCO",44.4444444444444,40.4761904761905,46.3414634146341,48
"24","COHE",44.4444444444444,45.2380952380952,24.390243902439,41
"25","Collinsia",3.7037037037037,9.52380952380952,2.4390243902439,6
"26","CONU",25.9259259259259,30.952380952381,34.1463414634146,34
"27","CRRI",3.7037037037037,19.047619047619,2.4390243902439,10
"28","DAPU",14.8148148148148,7.14285714285714,0,7
"29","ELGL",51.8518518518518,40.4761904761905,19.5121951219512,39
"30","ERLA",18.5185185185185,21.4285714285714,4.8780487804878,16
"31","FECA",33.3333333333333,42.8571428571429,31.7073170731707,40
"32","FEMI",33.3333333333333,33.3333333333333,4.8780487804878,25
"33","FEOC",40.7407407407407,42.8571428571429,51.219512195122,50
"34","FRVE",11.1111111111111,11.9047619047619,0,8
"35","GABO",33.3333333333333,45.2380952380952,24.390243902439,38
"36","GAFR",18.5185185185185,7.14285714285714,0,8
"37","GATR",14.8148148148148,23.8095238095238,26.8292682926829,25
"38","GOOB",0,0,17.0731707317073,7
"39","HIAL",33.3333333333333,59.5238095238095,51.219512195122,55
"40","HOCR",11.1111111111111,14.2857142857143,2.4390243902439,10
"41","HODI",14.8148148148148,4.76190476190476,7.31707317073171,9
"42","Iris",44.4444444444444,66.6666666666667,53.6585365853659,62
"43","LOHI",55.5555555555556,40.4761904761905,53.6585365853659,54
"44","Lupinus",7.40740740740741,7.14285714285714,7.31707317073171,8
"45","LYLA",66.6666666666667,59.5238095238095,51.219512195122,64
"46","MAAQ",3.7037037037037,7.14285714285714,4.8780487804878,6
"47","Madia",62.962962962963,57.1428571428571,12.1951219512195,46
"48","MANE",18.5185185185185,9.52380952380952,14.6341463414634,15
"49","MARA",3.7037037037037,7.14285714285714,7.31707317073171,7
"50","MECA",62.962962962963,52.3809523809524,31.7073170731707,52
"51","MOMA",14.8148148148148,19.047619047619,4.8780487804878,14
"52","Nemophila",14.8148148148148,11.9047619047619,17.0731707317073,16
"53","OSBE",18.5185185185185,35.7142857142857,43.9024390243902,38
"54","PHHA",14.8148148148148,14.2857142857143,0,10
"55","PHLE",14.8148148148148,4.76190476190476,7.31707317073171,9
"56","Piperia",3.7037037037037,7.14285714285714,7.31707317073171,7
"57","POCO",14.8148148148148,9.52380952380952,17.0731707317073,15
"58","POIM",44.4444444444444,33.3333333333333,56.0975609756098,49
"59","PRHO",18.5185185185185,19.047619047619,36.5853658536585,28
"60","PTAQ",37.037037037037,50,36.5853658536585,46
"61","Pyrola",0,9.52380952380952,31.7073170731707,17
"62","Ribes",62.962962962963,47.6190476190476,26.8292682926829,48
"63","ROGY",44.4444444444444,30.952380952381,43.9024390243902,43
"64","RULE",55.5555555555556,21.4285714285714,17.0731707317073,31
"65","RUPA",48.1481481481481,30.952380952381,19.5121951219512,34
"66","RUUR",33.3333333333333,11.9047619047619,14.6341463414634,20
"67","SACR",14.8148148148148,11.9047619047619,7.31707317073171,12
"68","SANIG",14.8148148148148,7.14285714285714,0,7
"69","SASC",33.3333333333333,28.5714285714286,14.6341463414634,27
"70","Sidalcea",0,16.6666666666667,4.8780487804878,9
"71","SILX",18.5185185185185,4.76190476190476,0,7
"72","SOPA",37.037037037037,11.9047619047619,0,15
"73","STLE",11.1111111111111,7.14285714285714,0,6
"74","SYMO",29.6296296296296,47.6190476190476,36.5853658536585,43
"75","TODI",74.0740740740741,61.9047619047619,78.0487804878049,78
"76","TRCA",3.7037037037037,21.4285714285714,12.1951219512195,15
"77","VAHE",14.8148148148148,4.76190476190476,7.31707317073171,9
"78","VIAM",33.3333333333333,23.8095238095238,14.6341463414634,25
"79","VILO",7.40740740740741,19.047619047619,24.390243902439,20
"80","WHMO",22.2222222222222,7.14285714285714,17.0731707317073,16
