"","x"
"ACWO",0.132061538461538
"AMRO",0.25143
"BEWR",0.1620375
"BHGR",0.68904
"BRCR",0.147485714285714
"BTPI",1
"BTYW",1
"BUSH",0.110683333333333
"CASJ",0.274291666666667
"CAVI",0.0696
"CBCH",0.087
"CORA",0.868593939393939
"DEJU",0.250926315789474
"DOWO",1
"GCKI",0.987933333333333
"HAFL",1
"HAWO",1
"HETH",0.987933333333333
"HEWA",0.0696
"HOWR",0.258790476190476
"HUVI",0.330823076923077
"LAZB",0.0058
"LEGO",0.0696
"MAWA",1
"MGWA",0.0696
"MODO",1
"MOQU",1
"MOUQ",1
"NAWA",0.330823076923077
"NOFL",0.250926315789474
"NOPO",1
"OCWA",0.166494117647059
"OSFL",1
"OSPR",1
"PAWR",0.110683333333333
"PIWO",0.987933333333333
"PSFL",0.482642857142857
"PUFI",0.274291666666667
"RBNU",0.0696
"RBSA",1
"RUHU",0.274291666666667
"SOGR",1
"SPTO",0.087
"STJA",1
"TOSO",1
"TUVU",1
"VASW",1
"VGSW",1
"WAVI",0.767845161290323
"WBNU",1
"WEBL",1
"WETA",0.6404
"WEWP",0.110683333333333
"WIWA",0.868593939393939
"WREN",0.0058
"XXHU",0.1620375
"YBCH",0.463140740740741
"YEWA",1
