"","x"
"ABCO",0.5454225
"ACMA",0.684761538461538
"ACTR",0.170470588235294
"ADBI",0.0700875
"ANMAD",0.04935
"APAN",0.33936
"ARDI",0.844316666666667
"ARME",0.342638709677419
"ARVI",0.608462790697674
"BRSE",0.09345
"BRVU",0.405052941176471
"CADE",0.928062295081967
"CAOC",0.253938461538462
"CASC",0.0830454545454545
"CEIN",0.00315
"CEOC",0.684761538461538
"CHCH",0.8925
"COCO",0.684761538461538
"COHE",0.536469230769231
"CONU",0.9933
"DAPU",0.0974076923076923
"ELGL",0.08127
"FECA",0.681975
"FEMI",0.04158
"FEOC",0.879971186440678
"GABO",0.684761538461538
"GAFR",0.401821875
"GATR",0.777990566037736
"HIAL",0.42245
"HODI",0.684761538461538
"IRTE",0.17325
"LOHI",0.405052941176471
"MAGR",0.0042
"MANE",0.5691
"MECA",0.08127
"NODE",0.253938461538462
"OSBE",0.463475675675676
"PHLE",0.536469230769231
"PIAT",0.33936
"PILA",0.214747826086957
"PIPO",0.4086
"POCO",0.950995161290322
"POIM",0.170470588235294
"PRHO",0.5691
"PSME",0.00315
"PTAQ",0.684761538461538
"QUCH",0.684761538461538
"QUGA",0.2205
"QUKE",0.2031
"RIRO",0.04158
"ROGY",0.684761538461538
"RULE",0.14265
"RUPA",0.858678947368421
"RUUR",0.17325
"SASC",0.308925
"SOPA",0.0700875
"SYMO",0.858678947368421
"TODI",0.170470588235294
"TRLA",0.214747826086957
"UMCA",0.17325
"VAHE",0.858678947368421
"VIAM",0.276033333333333
"WHMO",0.879971186440678
