species,cover
ABCO,0.5
ACMA,1
ACMA,45
ACMA,0
ACMA,20
ACMA,30
ACMA,0
ACMA,5
ACMA,0.5
ACMI,0.5
ACMI,0.5
ACMI,0.5
ACMI,0.5
ACMI,1
ACMO,0.5
ACTR,1
AGGR,0.5
AGGR,0.5
AGGR,0.5
AGGR,0.5
ALRH,0
AMAL,1
AMAL,1
ANMAD,0.5
ANMAD,0.5
ANMAD,1
ANMAD,0.5
APAN,0.5
APAN,1
APAN,0.5
APAN,1
APAN,0.5
APAN,1
APAN,1
APAN,1
ARCA,1
ARCA,1
ARDI,0.5
ARDI,0.5
ARDI,0.5
ARDI,1
ARME,1
ARME,10
ARME,1
ARME,5
ARME,10
ARME,0
ARME,0
ARME,10
ARME,25
ARME,5
ARME,5
ARME,5
ARME,3
ARME,20
ARME,10
ARME,40
ARME,50
ARME,15
ARME,8
ARME,15
ARME,10
ARME,20
ARPA,0.5
ARVI,0.5
ARVI,0.5
ARVI,3
ARVI,1
ARVI,0.5
ARXX,1
ASHA,0.5
BREL,0.5
BREL,0.5
BRSE,0.5
BRSE,0.5
BRSE,1
BRSE,5
BRSE,0.5
BRVU,5
BRVU,10
CAAP,0.5
CADE,0
CADE,3
CADE,0.5
CADE,0.5
CADE,0
CAMU,0.5
CAMU,0.5
CAMU,0.5
CAOC,5
CAOC,1
CAOC,0.5
CAOC,1
CAREX,0.5
CAREX,0.5
CAREX,0.5
CASC,0.5
CASC,0.5
CASC,0.5
CASC,0.5
CASC,0.5
CASC,0.5
CASC,4
CASC,0.5
CASC,0.5
CAXX,0.5
CEIN,2
CEIN,35
CEIN,20
CEIN,45
CEIN,35
CEIN,40
CEIN,55
CEIN,5
CEIN,75
CEIN,5
CEIN,30
CEIN,70
CEIN,65
CEIN,10
CEIN,40
CEIN,70
CEIN,1
CEIN,75
CEIN,65
CEIN,40
CEIN,35
CEIN,10
CEOC,2
CEOC,35
CHAN,0.5
CHAN,0.5
CHAN,1
CHAN,0.5
CHCH,3
CHCH,15
CHCH,1
CHPO,1
CHPO,0.5
CIOC,0.5
CLAM,0.5
CLPU,0.5
CLPU,1
CLRH,0.5
CLRH,0.5
CLVI,3
COCO,5
COCO,2
COCO,2
COCO,25
COCO,20
COCO,3
COCO,5
COCO,0
COHE,0.5
COHE,0.5
COHE,0.5
COHE,0.5
COHE,0.5
COHE,0.5
COHE,0.5
COHE,0.5
CONU,25
CONU,0
CONU,15
CONU,5
CONU,1
CYGR,0.5
CYGR,0.5
DAISYSP,1
DAPU,0.5
DAPU,3
DAPU,1
DAPU,1
DAPU,1
DIID,0.5
DIID,0.5
DIMU,0.5
DIMU,0.5
ELGL,0.5
ELGL,1
ELGL,0.5
ELGL,0.5
ELGL,0.5
ELGL,0.5
ELGL,0.5
ELGL,0.5
ELGL,2
ELGL,0.5
ELGL,1
ELGL,1
ELGL,1
ERCA,0.5
ERLA,0.5
ERLA,0.5
ERLA,0.5
ERLA,0.5
FECA,0.5
FECA,5
FECA,5
FECA,0.5
FECA,1
FECA,30
FECA,15
FEMI,1
FEMI,0.5
FEMI,0.5
FEMI,0.5
FEMI,1
FEMI,2
FEMI,2
FEOC,0.5
FEOC,0.5
FEOC,20
FEOC,0.5
FEOC,2
FEOC,0.5
FEOC,1
FRVE,0.5
FRVE,0.5
FRVE,1
GABO,0.5
GABO,0.5
GABO,0.5
GABO,0.5
GABO,2
GABO,0.5
GABO,1
GAFR,2
GAFR,50
GAFR,0
GAFR,5
GATR,0.5
GATR,3
GATR,0.5
GICA,0.5
HEAR,1
HEXX,0.5
HEXX,0.5
HIAL,0.5
HIAL,0.5
HIAL,0.5
HIAL,1
HIAL,1
HIAL,0.5
HOCR,2
HOCR,1
HOCR,1
HODI,1
HODI,0.5
HODI,5
HOXX,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,1
KOST,0.5
LICA,0.5
LICA,0.5
LOHI,1
LOHI,0.5
LOHI,0.5
LOHI,5
LOHI,0.5
LOHI,1
LOHI,1
LOHI,1
LOHI,1
LOHI,1
LOHI,3
LOHI,3
LOHI,4
LOHI,2
LOTR,0.5
LOXX,1
LUTR,0.5
LUTR,2
MAAQ,1
MAGR,0.5
MAGR,0.5
MAGR,3
MAGR,1
MAGR,0.5
MAGR,1
MAGR,5
MAGR,1
MAGR,0.5
MAGR,6
MAGR,1
MAGR,4
MANE,5
MANE,5
MANE,0.5
MANE,5
MAOR,0.5
MAOR,1
MARA,1
MECA,0.5
MECA,0.5
MECA,25
MECA,0.5
MECA,1
MECA,20
MECA,1
MECA,70
MECA,3
MECA,1
MECA,1
MECA,2
MECA,1
MOOD,1
NODE,5
NODE,30
NODE,0
NODE,10
NODE,40
NODE,15
NODE,1
NODE,3
NODE,70
NODE,1
NODE,0
NODE,0.5
NODE,60
NODE,35
NODE,3
OSBE,0.5
OSBE,2
OSBE,0.5
PETR,0.5
PHLE,20
PHLE,2
PHLE,5
PHXX,0.5
PIAT,4
PIAT,1
PIAT,15
PILA,0
PILA,0
PILA,0.5
PILA,0
PIPO,1
PIPO,15
PIPO,0
PIPO,0.5
PIPO,5
PIPO,1
PIPO,0.5
PIPO,0.5
PLEL,0.5
POCO,0.5
POCO,0.5
POCO,0.5
POCO,1
POCO,0.5
POGL,1
POIM,0.5
POIM,0.5
POIM,0.5
POIM,1
POIM,1
POIM,0.5
POIM,0.5
PRHO,1
PRHO,0.5
PRHO,0.5
PRHO,2
PSME,0
PSME,0
PSME,15
PSME,5
PSME,15
PSME,0
PSME,5
PSME,7
PSME,0
PSME,7
PSME,1
PSME,10
PSME,1
PSME,5
PSME,30
PSME,0.5
PSME,20
PSME,1
PSME,5
PTAQ,0.5
PTAQ,0.5
PTAQ,1
PTAQ,1
PTAQ,0.5
PTAQ,0.5
PTAQ,5
PTAQ,50
PTAQ,1
PYAP,0.5
PYPI,0.5
QUCH,2
QUCH,5
QUCH,10
QUCH,3
QUCH,20
QUCH,20
QUCH,10
QUCH,40
QUCH,20
QUCH,20
QUCH,0.5
QUCH,1
QUCH,2
QUCH,3
QUCH,15
QUCH,10
QUCH,5
QUCH,1
QUCH,1
QUCH,30
QUCH,45
QUGA,0
QUGA,0.5
QUGA,15
QUGA,4
QUGA,25
QUGA,1
QUKE,1
QUKE,20
QUKE,18
QUKE,3
QUKE,30
QUKE,20
QUKE,5
QUKE,10
QUKE,25
QUKE,10
QUKE,10
QUKE,10
QUKE,1
QUKE,0.5
QUKE,20
QUKE,5
QUKE,8
RHPU,0.5
RIRO,0.5
RIRO,1
RIRO,2
RIRO,1
RIRO,4
RIRO,5
RIRO,5
RIRO,1
RIRO,1
RIRO,1
RIRO,5
RIRO,1
RIRO,1
RIRO,1
RIRO,1
RISA,1
RISA,0.5
ROGY,1
ROGY,5
ROGY,3
ROGY,2
ROGY,0.5
ROGY,1
ROGY,0.5
ROGY,0.5
ROGY,1
RULE,0.5
RULE,1
RULE,2
RULE,20
RULE,1
RULE,10
RULE,1
RULE,1
RULE,1
RULE,3
RULE,3
RULE,5
RUPA,0.5
RUPA,1
RUPA,0.5
RUPA,4
RUPA,5
RUPA,1
RUUR,1
RUUR,0.5
RUUR,1
RUUR,1
RUUR,1
RUUR,0.5
RUUR,1
SABI,0.5
SACR,0.5
SACR,1
SACR,0.5
SACR,1
SADO,1
SALU,0
SANIG,2
SANIG,3
SASC,0.5
SASC,40
SASC,0.5
SASC,0
SASC,15
SASC,1
SI,0.5
SI,0.5
SI,0.5
SI,0.5
SI,0.5
SICA,0.5
SICA,1
SIXX,0.5
SOPA,1
SOPA,0.5
SOPA,0.5
SOPA,1
SOPA,0.5
SOPA,0.5
SOPA,2
SOPA,1
SYAL,1
SYAL,1
SYMO,5
SYMO,4
SYMO,5
SYMO,0.5
SYMO,0.5
SYMO,5
TODI,20
TODI,15
TODI,5
TODI,15
TODI,30
TODI,10
TODI,10
TODI,10
TODI,1
TODI,30
TODI,20
TODI,4
TODI,5
TODI,10
TODI,5
TODI,5
TODI,20
TODI,0.5
TODI,10
TODI,2
TODI,3
TODI,15
TRLA,0.5
TRLA,0.5
TRLA,0.5
TRLA,0.5
TRLA,0.5
TRLA,10
TRLA,1
TRLA,2
TRLA,4
TRLA,10
TRLA,4
TRLA,2
TRLA,1
TRLA,1
VAHE,3
VAHE,2
VIAM,1
VIAM,1
VIAM,0.5
VIAM,5
VIAM,2
VIAM,3
VIXX,1
WHMO,10
WHMO,0.5
WHMO,65
WHMO,10
