species,cover
ABCO,1
ABCO,1
ABCO,40
ACMA,0
ACMA,0.5
ACMA,5
ACMA,15
ACMA,10
ACMA,0
ACMA,10
ACMA,0
ACMA,0
ACMA,0
ACMI,0.5
ACTR,0.5
ACTR,3
ACTR,0.5
ACTR,1
ACTR,0.5
ACTR,1
ACTR,0.5
ADBI,0.5
ADBI,0.5
ADBI,5
ADBI,0.5
ADBI,0.5
AGGR,1
AGGR,0.5
ANMAD,3
ANMAD,0.5
ANMAD,0.5
ANMAD,0.5
ANMAD,1
ANMAD,0.5
ANMAD,4
ANMAD,1
ANMAD,2
ANMAD,0.5
APAN,0.5
APAN,0.5
APAN,0.5
APAN,1
ARCAL,1
ARDI,0.5
ARDI,0.5
ARDI,0.5
ARDI,0.5
ARDI,0.5
ARME,1
ARME,0
ARME,5
ARME,10
ARME,10
ARME,1
ARME,1
ARME,2
ARME,1
ARME,15
ARME,15
ARME,15
ARME,5
ARME,5
ARME,15
ARME,1
ARME,0
ARME,13
ARVI,0.5
ARVI,0.5
ASHA,0.5
CACA,0.5
CADE,5
CADE,1
CAMU,0.5
CAMU,0.5
CAMU,0.5
CAMU,0.5
CAOC,0.5
CAREX,0.5
CASC,0.5
CASC,0.5
CEIN,1
CEIN,10
CEIN,0.5
CEIN,5
CEIN,0.5
CEIN,1
CEIN,40
CEIN,0.5
CEIN,0.5
CEIN,20
CEIN,5
CEIN,0.5
CEIN,1
CEOC,1
CEOC,1
CESA,0
CHCH,1
CHCH,5
CHCH,0
CHCH,10
CHPO,0.5
CHUM,1
CHUM,1
CHUM,0.5
CHUM,0.5
CHUM,0.5
CHUM,0.5
COCO,1
COCO,0.5
COCO,45
COCO,5
COCO,0.5
COCO,1
COCO,0
COCO,1
COCO,8
COCO,1
COHE,1
COHE,0.5
COHE,0.5
CONU,5
CONU,3
CONU,0.5
CONU,0.5
CONU,5
CONU,0.5
COST,0.5
CYGR,0.5
DRAR,0.5
ELGL,0.5
ELGL,1
ELGL,0.5
ELGL,1
ELGL,1
FECA,0.5
FECA,1
FECA,1
FECA,1
FEOC,0.5
FEOC,0.5
FEOC,0.5
FEOC,0.5
FEOC,0.5
FEOC,0.5
FEOC,5
FEOC,0.5
GABO,0.5
GABO,0.5
GABO,0.5
GABO,1
GABO,1
GAFR,1
GAFR,1
GATR,0.5
GATR,0.5
GATR,0.5
GATR,0.5
GATR,0.5
GATR,0.5
GATR,0.5
GATR,0.5
GOOB,0.5
GOOB,0.5
GOOB,1
HEXX,0.5
HIAL,0.5
HIAL,0.5
HIAL,1
HIAL,0.5
HIAL,1
HIAL,1
HIAL,2
HIAL,0.5
HODI,5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,0.5
IRTE,1
IRTE,0.5
KOST,0.5
LIBO,1
LOHI,1
LOHI,0.5
LOHI,0.5
LOHI,0.5
LOHI,0.5
LOHI,0.5
LOHI,4
LOHI,0.5
LOHI,3
LOHI,0.5
LOHI,0.5
LOHI,1
LOHI,5
LOHI,1
MAAQ,0.5
MAAQ,0.5
MAGR,1
MANE,20
MANE,30
MANE,15
MANE,5
MARA,0.5
MARA,0.5
MARA,0.5
MARA,0.5
MECA,0.5
MECA,0.5
MECA,4
MECA,1
MECA,10
MECA,0.5
NEPA,2
NODE,2
NODE,60
NODE,45
NODE,35
NODE,15
NODE,30
NODE,2
NODE,5
NODE,10
NODE,65
NODE,25
NODE,1
NODE,15
OSBE,3
OSBE,0.5
OSBE,1
OSBE,3
OSBE,0.5
PHLE,0.5
PHLE,1
PIAT,0.5
PILA,10
PILA,0
PILA,0
PILA,0
PILA,7
PIPO,0
PIPO,1
PIPO,5
PLEL,0.5
PLEL,0.5
POCO,0.5
POCO,1
POCO,0.5
POIM,0.5
POIM,0.5
POIM,1
POIM,1
POIM,0.5
POIM,2
POIM,1
POIM,0.5
POIM,1
POIM,2
PRHO,0.5
PRHO,0.5
PRHO,0.5
PRHO,0.5
PRHO,0.5
PRHO,0.5
PRHO,1
PRHO,0.5
PSME,60
PSME,80
PSME,30
PSME,60
PSME,70
PSME,90
PSME,20
PSME,40
PSME,40
PSME,30
PSME,50
PSME,85
PSME,75
PSME,5
PSME,40
PSME,75
PSME,90
PSME,25
PSME,40
PTAQ,0.5
PTAQ,1
PTAQ,0.5
PTAQ,0.5
PTAQ,0.5
PTAQ,1
PTAQ,0.5
PTAQ,3
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYAP,0.5
PYPI,0.5
PYPI,0.5
PYPI,1
PYPI,0.5
PYPI,0.5
PYPI,0.5
QUCH,1
QUCH,30
QUCH,10
QUCH,15
QUCH,85
QUCH,0
QUCH,1
QUCH,1
QUCH,10
QUCH,8
QUCH,1
QUCH,35
QUCH,10
QUCH,1
QUCH,75
QUCH,55
QUGA,5
QUGA,0
QUGA,0
QUKE,0
QUKE,1
QUKE,0
QUKE,45
QUKE,5
QUKE,5
QUKE,0
QUKE,0.5
QUKE,15
QUKE,1
QUKE,0
RIRO,0.5
RIRO,5
RIRO,0.5
RIRO,0.5
RIRO,1
RIRO,0.5
RISA,0.5
RISA,0.5
RISA,0
ROGY,1
ROGY,1
ROGY,0.5
ROGY,0.5
ROGY,5
ROGY,1
ROGY,10
ROGY,7
RULE,0.5
RULE,0.5
RULE,0.5
RULE,1
RULE,1
RULE,1
RULE,5
RUPA,0.5
RUPA,0.5
RUPA,1
RUPA,2
RUPA,8
RUUR,0.5
RUUR,1
SACR,1
SACR,1
SASC,1
SASC,1
SASC,0
SICA,0.5
SOPA,1
STME,1
SYAL,0.5
SYMO,0.5
SYMO,0.5
SYMO,0.5
SYMO,1
SYMO,1
SYMO,3
SYMO,0
SYMO,0.5
TODI,15
TODI,20
TODI,1
TODI,15
TODI,15
TODI,1
TODI,1
TODI,0.5
TODI,10
TODI,15
TODI,1
TODI,3
TODI,2
TODI,0.5
TODI,1
TODI,3
TODI,15
TRLA,2
TRLA,1
TRLA,1
TRLA,1
TRLA,0.5
TRLA,1
TRLA,0.5
TRLA,0.5
TRLA,5
TRLA,0.5
UMCA,30
UMCA,1
UMCA,1
VAHE,0.5
VAHE,1
VIAM,1
VIAM,0.5
VIAM,1
VICA,1
VILO,0.5
VILO,0.5
VILO,0.5
VILO,1
VIXX,1
WHMO,0.5
WHMO,1
WHMO,10
WHMO,5
WHMO,0.5
WOFI,1
