species,cover
ACMA,1
ACMA,5
ADBI,0.5
ADBI,1
ALRH,0
ALXX,0.5
ANMAD,0.5
ANMAD,0.5
ANMAD,1
ANMAD,2
APAN,0.5
ARDI,0.5
ARME,5
ARME,15
ARME,15
ARME,5
ARME,5
ARME,7
ARVI,2
CHUM,0.5
CLPU,0.5
COCO,2
COCO,20
COHE,0.5
COHE,0.5
CONU,1
CONU,10
FECA,0.5
FECA,20
FECA,0.5
FEOC,2
FEOC,0.5
GABO,0.5
HIAL,0.5
HIAL,1
IRTE,0.5
IRTE,0.5
LOHI,0.5
LOHI,0.5
LOHI,0.5
LOHI,2
LOHI,5
LOHI,25
MANE,0.5
MARA,0.5
NODE,30
NODE,5
NODE,2
NODE,50
NODE,65
NODE,90
OECE,0.5
OSBE,1
PILA,0.5
PILA,8
PILA,10
PIPO,5
PLEL,0.5
POCO,0.5
POCO,0.5
POIM,0.5
POIM,0.5
POIM,0.5
POIM,1
PRHO,1
PSME,50
PSME,80
PSME,70
PSME,50
PSME,85
PSME,25
PTAQ,0.5
PTAQ,0.5
QUCH,50
QUCH,10
QUCH,60
QUCH,20
QUKE,1
QUKE,25
QUKE,0
QUKE,20
QUKE,1
ROGY,0.5
ROGY,0.5
SYMO,5
TODI,10
TODI,10
TODI,3
TODI,5
TODI,7
TRLA,0.5
UMCA,1
UMCA,5
VAHE,5
VILO,0.5
VILO,0.5
WHMO,1
WHMO,5
