,species,NMDS1,NMDS2,r,pval,sum,best model,other,,,notes
1,ACMA,-0.201293984,0.979530873,0.220758142,0.0035,20,null,,,,
2,CASC,0.257864891,0.966180986,0.23693952,0.0022,11,sev,add/mult,,,
3,CEIN,0.68868717,0.725058606,0.463339968,1.00E-04,35,sev,add/mult,,,
4,CONU,-0.667975671,0.744183111,0.392227141,1.00E-04,13,null,,,,
5,ELGL,0.928662206,0.370926553,0.360471197,4.00E-04,18,add,sev/tsf,,,
6,FECA,0.749782338,-0.661684552,0.183977489,0.0116,14,,,,,not working
7,GABO,0.671966413,-0.740581622,0.302955332,6.00E-04,13,null,,,,
8,HIAL,0.657858633,-0.753141433,0.16904235,0.0155,16,null,,,,
9,LOHI,0.044920793,-0.998990552,0.385106901,2.00E-04,33,tsf,sev/add/null,,,
10,MAGR,0.867382709,0.497641674,0.417767473,1.00E-04,13,add,,,,
11,MECA,0.932563672,-0.361005538,0.526790349,1.00E-04,19,sev,add/tsf,,,
12,NODE,-0.994825101,-0.101602255,0.453398189,2.00E-04,33,tsf,sev/null,,,
13,PIPO,0.076662139,0.997057128,0.281641398,8.00E-04,12,null,,,,
14,POCO,0.385563214,-0.922681423,0.266233068,0.0013,10,null,,,,
15,POIM,0.204124042,-0.978945032,0.138680813,0.0328,21,null,,,,
16,PRHO,-0.650648249,0.759379257,0.408381295,1.00E-04,13,null,,,,
17,PSME,-0.958317251,-0.285706223,0.279548342,6.00E-04,43,add,sev,,,error but works
18,PTAQ,-0.654483535,0.756076254,0.208235174,0.0067,19,null,,,,
19,RIRO,0.999932649,0.011605933,0.398538049,2.00E-04,21,sev,add,,,
20,ROGY,-0.476394743,0.87923151,0.372662264,2.00E-04,19,null,,,,
21,RULE,0.801953001,0.597387131,0.291982885,9.00E-04,19,tsf,add,,,
22,RUPA,-0.364183695,0.931327137,0.305136165,5.00E-04,11,null,,,,
23,SYMO,-0.501817972,0.86497325,0.172707358,0.0149,15,null,,,,
24,TRLA,-0.005348804,0.999985695,0.244610401,0.0015,24,,,,,not working
25,WHMO,-0.85890244,0.512139238,0.186156615,0.0117,11,tsf,add,,,
,,,,,,,,,,,
,TODI,,,,NS,43,,,,,
,SOPA,,,,S,9,,,,,
,FEMI,,,,S,7,,,,,
,RUUR,,,,S,9,,,,,
,ANMAD,,,,NS,17,,,,,
,ADBI,,,,NS,7,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
34,MANE,-0.685196168,0.728358573,0.312276166,2.00E-04,9,,,,,
38,OSBE,0.893987554,-0.448091792,0.115935226,0.0615,9,,,,,
50,QUGA,0.997843468,0.065638502,0.189704818,0.0072,9,,,,,
57,RUUR,-0.304185533,0.952612808,0.29719499,7.00E-04,9,add,tsf/mult/sev,,,
59,SASC,0.100810796,0.994905615,0.279685669,6.00E-04,9,,,,,
61,SOPA,0.999974785,-0.007101317,0.354331577,1.00E-04,9,,,,,
66,VIAM,0.234537709,0.972107023,0.244957834,0.0014,9,,,,,
3,ACTR,-0.754253304,0.656583547,0.32282104,4.00E-04,8,,,,,
10,ARVI,0.65922238,-0.751948039,0.067993206,0.2104,8,,,,,
47,PYAP,-0.999960124,0.00893028,0.118086678,0.0579,8,,,,,
4,ADBI,-0.954173655,-0.299253465,0.037158643,0.4239,7,,,,,
12,CADE,0.016311539,0.999866958,0.046291242,0.3444,7,,,,,
13,CAMU,-0.953516331,-0.301341346,0.000989053,0.9786,7,,,,,
17,CHCH,-0.494920584,0.868938212,0.108095743,0.0719,7,,,,,
18,CHUM,-0.962312651,0.271945512,0.151481264,0.0237,7,,,,,
25,FEMI,0.998228059,-0.059504133,0.233098155,0.002,7,,,,,
28,GAFR,0.866650527,-0.498915688,0.161937418,0.0172,7,,,,,
48,PYPI,-0.924299329,-0.381668377,0.129883629,0.0408,7,,,,,
2,ACMI,0.764019081,0.645193649,0.15486716,0.0215,6,,,,,
5,AGGR,0.456315417,0.889818094,0.170587103,0.0116,6,,,,,
35,MARA,-0.708906889,0.705302079,0.250761635,0.0012,6,,,,,
58,SACR,0.999050008,-0.043578444,0.231454117,0.0021,6,,,,,
11,BRSE,0.553504513,0.832846177,0.222877156,0.002,5,,,,,
14,CAOC,0.860656423,0.509186137,0.264265319,7.00E-04,5,,,,,
22,DAPU,0.999986781,-0.005141814,0.323397572,1.00E-04,5,,,,,
39,PHLE,0.598015904,0.801484235,0.055232129,0.2938,5,,,,,
53,RISA,-0.541272522,0.840847226,0.035980384,0.4485,5,,,,,
60,SI,0.349901883,0.936786354,0.262947881,3.00E-04,5,,,,,
