"","x"
"ACWO",0.124084615384615
"AMRO",0.223928571428571
"BEWR",0.155325
"BHGR",0.639565909090909
"BRCR",0.145757142857143
"BTPI",0.639565909090909
"BTYW",0.863717647058824
"BUSH",0.109725
"CASJ",0.239647826086957
"CAVI",0.0700285714285714
"CBCH",0.0703
"CORA",0.639565909090909
"DEJU",0.223928571428571
"DOWO",0.77769375
"GCKI",0.753370212765958
"HAFL",1
"HAWO",0.863717647058824
"HETH",0.753370212765958
"HEWA",0.0700285714285714
"HOWR",0.223928571428571
"HUVI",0.306703846153846
"LAZB",0.00285
"LEGO",0.0700285714285714
"MGWA",0.0700285714285714
"MODO",0.639565909090909
"MOQU",0.639565909090909
"MOUQ",0.639565909090909
"NAWA",0.239647826086957
"NOFL",0.15865
"NOPO",0.639565909090909
"OCWA",0.15865
"OSFL",0.639565909090909
"OSPR",1
"PAWR",0.109725
"PIWO",0.753370212765958
"PSFL",0.316244444444444
"PUFI",0.246012
"RBNU",0.0700285714285714
"RBSA",0.819869387755102
"RUHU",0.246012
"SOGR",1
"SPTO",0.0703
"STJA",1
"TOSO",0.639565909090909
"TUVU",1
"VASW",0.639565909090909
"VGSW",0.639565909090909
"WAVI",0.639565909090909
"WBNU",1
"WEBL",0.639565909090909
"WETA",0.596337931034483
"WEWP",0.109725
"WIWA",0.639565909090909
"WREN",0.00285
"XXHU",0.14972
"YBCH",0.44745
"YEWA",0.639565909090909
